Date,Open,High,Low,Close,Volume
2024-06-03,192.985,194.99,192.6,193.99,390603
2024-06-04,194.845,195.295,193.14,194.31,517834
2024-06-05,195.39,196.885,194.905,195.87,856960
2024-06-06,195.72,196.49,194.175,194.435,568869
2024-06-07,194.77,196.93,194.16,196.88,901606
2024-06-10,196.905,197.23,192.24,193.15,1746307
2024-06-11,193.66,207.15,193.65,207.15,2713867
2024-06-12,207.385,220.19,206.93,213.17,3330445
2024-06-13,214.72,216.64,211.615,214.22,1704323
2024-06-14,213.765,215.08,211.34,212.57,1048695
2024-06-17,213.275,218.93,212.81,216.67,1856996
2024-06-18,217.63,218.61,213.0,214.38,1240896
2024-06-20,213.995,214.22,208.87,209.55,887236
2024-06-21,210.39,211.85,207.215,207.215,1486160
2024-06-24,207.7,212.65,206.65,208.29,693762
2024-06-25,209.125,211.335,208.635,209.17,468769
2024-06-26,211.48,214.825,210.69,213.17,895570
2024-06-27,214.74,215.7,212.395,214.11,760763
2024-06-28,215.83,216.045,210.31,210.61,1405664
2024-07-01,212.16,217.505,211.95,216.7,849200
2024-07-02,216.16,220.35,215.14,220.35,611120
2024-07-03,219.93,221.53,219.045,221.53,568282
2024-07-05,221.705,226.445,221.68,226.35,762352
2024-07-08,227.125,227.84,223.27,227.81,624992
2024-07-09,228.23,229.38,226.38,228.69,514553
2024-07-10,229.38,233.06,229.31,232.93,1112322
2024-07-11,231.425,232.3,225.78,227.66,812486
2024-07-12,229.03,232.61,228.685,230.27,753812
2024-07-15,236.63,237.16,233.115,234.43,582872
2024-07-16,235.205,236.25,232.38,234.83,488572
2024-07-17,229.46,231.35,226.685,228.96,845050
2024-07-18,230.29,230.29,222.45,224.21,694929
2024-07-19,224.88,226.77,223.31,224.44,434480
2024-07-22,227.335,227.77,223.18,224.16,472525
2024-07-23,224.365,226.925,222.68,224.92,465219
2024-07-24,224.115,224.765,217.165,218.585,1005989
2024-07-25,218.88,220.81,214.64,217.42,642703
2024-07-26,218.94,219.48,216.04,218.03,661067
2024-07-29,217.375,219.28,215.79,218.185,381966
2024-07-30,219.3,220.27,216.12,218.68,559407
2024-07-31,221.52,223.81,220.91,222.18,549326
2024-08-01,224.34,224.4,217.03,218.51,1321543
2024-08-02,219.06,225.57,217.77,219.81,2263645
2024-08-05,199.16,213.45,196.0,209.23,2582819
2024-08-06,205.38,209.98,201.1,207.14,1429961
2024-08-07,206.9,213.625,206.45,209.81,724474
2024-08-08,213.09,214.2,208.91,213.35,838953
2024-08-09,212.06,216.74,211.99,216.16,911230
2024-08-12,216.07,219.5,215.63,217.6,564185
2024-08-13,219.185,221.87,219.185,221.21,589109
2024-08-14,220.51,223.0,219.7,221.63,620996
2024-08-15,224.6,225.35,222.8,224.69,720255
2024-08-16,223.98,226.8,223.67,226.06,459595
