Date,Open,High,Low,Close,Volume
2024-06-03,177.51,178.67,175.95,178.33,364027
2024-06-04,177.66,179.815,176.51,179.24,618027
2024-06-05,179.99,181.48,178.83,181.25,471930
2024-06-06,181.745,184.98,181.555,184.93,488670
2024-06-07,184.785,186.28,183.425,184.16,298904
2024-06-10,184.075,187.19,183.81,187.12,549100
2024-06-11,187.025,187.745,184.55,187.28,460231
2024-06-12,187.96,188.325,185.445,186.81,524784
2024-06-13,186.105,187.63,182.72,183.68,472778
2024-06-14,183.095,183.7,182.23,183.69,294993
2024-06-17,182.375,185.0,181.23,184.12,696125
2024-06-18,183.62,184.28,181.43,182.88,476585
2024-06-20,182.93,186.495,182.76,186.06,533760
2024-06-21,187.74,189.255,185.89,189.01,585066
2024-06-24,189.47,190.97,185.37,185.8,769479
2024-06-25,186.82,188.78,185.44,186.37,451226
2024-06-26,186.71,194.745,186.3,193.59,1121587
2024-06-27,194.97,199.84,194.33,197.85,1490925
2024-06-28,197.6,198.815,192.5,193.27,937374
2024-07-01,193.505,198.255,193.04,197.16,673840
2024-07-02,197.21,200.41,195.97,200.03,631154
2024-07-03,199.885,200.0,196.775,197.58,454253
2024-07-05,198.625,200.53,198.355,199.97,496494
2024-07-08,200.05,201.16,197.975,199.18,431642
2024-07-09,199.63,200.565,199.045,199.34,379359
2024-07-10,199.995,200.075,197.73,199.76,405444
2024-07-11,200.12,200.24,192.91,195.02,532717
2024-07-12,194.51,196.425,193.88,194.5,472834
2024-07-15,194.5,196.18,190.845,192.79,563081
2024-07-16,195.545,196.58,192.26,192.88,419751
2024-07-17,191.425,191.575,185.99,188.055,902683
2024-07-18,189.55,189.645,181.46,183.68,831741
2024-07-19,181.14,184.83,180.12,183.21,455379
2024-07-22,184.98,184.98,182.51,182.685,581451
2024-07-23,184.145,189.37,183.59,186.22,587732
2024-07-24,183.24,185.39,180.48,180.77,865985
2024-07-25,182.89,183.875,176.82,179.89,831959
2024-07-26,180.44,183.15,180.385,182.6,370815
2024-07-29,183.655,184.64,182.435,183.21,230790
2024-07-30,184.75,185.765,179.385,181.735,354512
2024-07-31,185.115,187.92,184.485,187.03,524987
2024-08-01,189.26,190.475,181.9,183.45,1196897
2024-08-02,166.725,168.73,160.57,167.745,3440319
2024-08-05,154.2,162.94,151.62,161.06,1980844
2024-08-06,161.74,165.015,158.63,161.915,950567
2024-08-07,166.66,167.55,161.45,162.75,1007962
2024-08-08,165.165,166.66,162.57,165.74,735973
2024-08-09,166.58,168.52,166.16,166.96,566208
2024-08-12,168.16,168.54,166.13,166.845,465432
2024-08-13,167.83,171.03,167.11,170.2,667298
2024-08-14,172.06,172.26,168.9,170.03,485481
2024-08-15,174.945,177.89,174.0,177.59,1112465
2024-08-16,176.9,178.33,176.275,177.04,610107
2024-08-19,177.61,178.27,176.19,178.14,661576
2024-08-20,178.01,179.01,177.47,178.9,600135
2024-08-21,179.96,182.33,178.9,180.04,819931
2024-08-22,181.38,181.38,175.7,176.22,627628
2024-08-23,177.325,178.96,175.25,177.08,588842
2024-08-26,176.74,177.45,174.32,175.51,542867
2024-08-27,174.14,174.76,172.25,173.11,779077
2024-08-28,173.68,173.68,168.96,170.82,757868
2024-08-29,173.25,174.27,170.81,172.19,604415
2024-08-30,172.72,178.89,172.61,178.53,1333257
2024-09-03,177.72,178.2,175.28,176.34,1174918
2024-09-04,174.48,175.97,172.54,173.305,784273
2024-09-05,175.23,179.87,175.23,177.87,1644303
2024-09-06,177.2,178.345,171.28,171.45,1025776
2024-09-09,174.635,175.85,173.53,175.4,815280
2024-09-10,177.555,180.5,176.79,179.62,1059674
2024-09-11,180.105,184.88,175.785,184.38,1189323
2024-09-12,184.855,187.39,183.56,187.07,883244
2024-09-13,186.88,188.48,185.93,186.44,721182
2024-09-16,185.31,185.8,183.36,184.9,692230
2024-09-17,186.77,189.44,186.17,186.96,793631
2024-09-18,186.48,188.77,185.06,186.39,860092
2024-09-19,190.07,190.97,188.505,189.85,1246862
2024-09-20,190.365,191.72,187.42,191.72,732061
2024-09-23,191.32,194.4,190.63,193.89,730878
2024-09-24,194.33,195.33,190.135,194.02,762139
2024-09-25,193.75,193.92,192.17,192.53,644843
2024-09-26,194.315,194.505,189.55,191.17,751569
2024-09-27,190.8,190.85,187.345,187.88,1106288
2024-09-30,187.07,188.49,184.69,186.38,1181263
2024-10-01,184.925,186.18,183.505,185.15,1156742
2024-10-02,184.38,186.57,184.065,184.78,843221
2024-10-03,183.045,183.41,180.88,181.9,619176
2024-10-04,185.8,187.595,183.63,186.49,1164541
2024-10-07,183.03,183.6,180.25,180.835,1223566
2024-10-08,181.95,183.07,180.98,182.71,762424
2024-10-09,182.8,185.84,182.06,185.19,763825
2024-10-10,187.15,188.12,185.84,186.69,595519
2024-10-11,186.48,189.92,186.32,188.79,824093
2024-10-14,189.745,189.8,187.37,187.61,485746
2024-10-15,187.36,188.4,184.58,187.83,778378
2024-10-16,187.085,187.74,185.62,186.9,590257
2024-10-17,188.19,188.94,186.0,187.55,815704
2024-10-18,186.97,190.735,186.31,188.96,920578
2024-10-21,188.16,189.43,186.4,189.09,512738
2024-10-22,188.35,191.5,187.01,189.71,434882
2024-10-23,188.81,189.15,183.71,184.715,709376
2024-10-24,185.31,187.1,183.89,186.4,542920
2024-10-25,187.83,190.44,187.54,187.85,705353
2024-10-28,189.56,190.19,188.21,188.5,516682
2024-10-29,188.45,191.455,187.84,190.87,630325
2024-10-30,194.695,195.55,192.43,192.78,1096707
2024-10-31,190.435,190.58,185.245,186.22,1546937
2024-11-01,198.95,200.49,197.04,197.86,2549444
2024-11-04,196.56,197.3,194.365,195.79,761144
2024-11-05,196.04,199.81,196.02,199.5,935747
2024-11-06,200.17,207.45,199.15,207.06,1608919
2024-11-07,207.4,212.245,207.28,210.04,1116343
2024-11-08,209.78,209.84,207.44,208.27,808152
2024-11-11,208.51,209.62,205.62,206.9,926248
2024-11-12,208.24,209.52,206.04,208.95,807487
2024-11-13,209.4,215.09,209.3,214.08,1093994
2024-11-14,214.145,215.88,210.91,211.45,810443
2024-11-15,206.73,207.3,199.66,202.565,1824764
2024-11-18,203.925,204.62,200.97,201.7,760048
2024-11-19,199.33,205.29,198.8,204.595,942074
2024-11-20,202.75,202.915,199.47,202.89,742517
2024-11-21,203.14,203.23,195.75,198.35,1464784
2024-11-22,198.38,199.15,196.77,197.07,799243
2024-11-25,199.28,201.9,199.01,201.44,888620
2024-11-26,201.91,208.0,201.8,207.82,816072
2024-11-27,207.025,207.61,205.07,205.79,566843
2024-11-29,205.895,208.09,204.69,207.95,543260
2024-12-02,209.96,212.975,209.55,210.67,1026123
2024-12-03,210.26,214.015,209.68,213.41,794896
2024-12-04,215.96,219.99,215.76,218.1,1307432
2024-12-05,218.05,222.14,217.33,220.57,1445577
2024-12-06,220.84,227.13,220.61,227.0,1331931
2024-12-09,227.21,230.08,225.7,226.015,1491859
2024-12-10,226.28,229.05,224.24,225.14,971073
2024-12-11,226.45,231.14,226.29,230.16,1113859
2024-12-12,229.525,231.07,227.64,229.03,744036
2024-12-13,228.41,230.09,225.895,227.44,659061
2024-12-16,230.245,233.0,228.095,232.95,958200
2024-12-17,232.51,232.68,227.9,231.24,1039586
2024-12-18,230.03,231.37,220.11,220.49,1315760
2024-12-19,225.09,226.07,222.98,223.29,1002126
2024-12-20,219.875,226.18,218.78,225.16,1057386
2024-12-23,225.125,225.39,224.02,224.77,138469
2024-12-24,226.86,229.11,226.14,228.95,389456
2024-12-26,227.9,228.49,226.72,227.14,455443
2024-12-27,225.6,226.02,220.915,223.85,815472
2024-12-30,219.99,222.98,218.44,221.255,829831
2024-12-31,222.965,223.18,218.95,219.47,787150
2025-01-02,222.43,225.07,218.21,220.21,1205003
2025-01-03,222.5,225.32,221.64,224.15,675077
2025-01-06,226.775,228.79,224.87,227.58,911200
2025-01-07,227.895,228.37,221.47,222.12,854886
2025-01-08,223.185,223.495,220.29,222.01,664884
2025-01-10,221.585,221.615,216.54,218.84,1163056
2025-01-13,218.095,219.39,216.47,218.48,780758
2025-01-14,220.56,221.81,216.26,217.74,866121
2025-01-15,222.81,223.5,220.785,223.3,1088018
2025-01-16,224.5,224.63,220.325,220.65,662277
2025-01-17,225.65,226.43,223.09,225.945,796056
2025-01-21,229.05,231.78,227.0,230.68,1212920
2025-01-22,232.08,235.405,231.195,235.0,935770
2025-01-23,233.98,235.435,231.57,235.37,787773
2025-01-24,234.87,236.385,232.94,234.835,727829
2025-01-27,226.26,235.59,225.96,235.57,1817616
2025-01-28,234.38,241.76,234.0,238.2,1835698
2025-01-29,239.015,240.36,236.16,237.05,1002067
2025-01-30,237.325,237.9,232.23,234.52,1138724
2025-01-31,236.61,240.275,236.61,237.65,1151423
2025-02-03,234.05,239.22,232.93,237.46,1550070
2025-02-04,238.94,242.51,238.03,242.02,869939
2025-02-05,236.775,238.25,235.21,236.11,1608196
2025-02-06,238.14,239.57,236.02,238.78,1493612
2025-02-07,232.65,234.78,228.095,229.19,2708992
2025-02-10,230.545,233.9,229.22,233.23,948969
2025-02-11,231.765,233.44,230.14,232.77,753161
2025-02-12,230.435,231.145,228.19,228.94,826255
2025-02-13,228.79,230.42,227.53,230.32,1123130
2025-02-14,229.195,229.765,227.24,228.64,822597
2025-02-18,228.94,229.085,223.74,226.64,1439304
2025-02-19,225.47,226.83,223.79,226.65,908458
2025-02-20,224.75,225.08,221.81,222.83,874609
2025-02-21,223.3,223.3,214.765,216.63,1754848
2025-02-24,217.515,217.655,212.45,212.67,1330167
2025-02-25,211.6,213.33,204.195,212.9,2496844
2025-02-26,214.865,218.1,213.1,214.35,1380593
2025-02-27,218.35,219.96,208.39,208.785,1819215
2025-02-28,208.75,212.62,207.0,212.09,1881771
2025-03-03,213.275,214.0,202.56,205.075,1729039
2025-03-04,200.07,206.8,197.46,203.85,2277871
2025-03-05,204.67,209.95,203.26,208.27,1646556
2025-03-06,204.4,205.76,198.4,200.7,2191502
2025-03-07,199.475,202.25,192.56,199.265,2640887
2025-03-10,195.61,196.68,190.85,194.62,3022243
2025-03-11,193.945,200.085,193.43,196.5,2236137
2025-03-12,200.74,201.5,195.32,198.83,1788004
2025-03-13,198.15,198.87,191.84,193.92,1846463
2025-03-14,197.385,198.555,195.35,198.14,1420376
2025-03-17,198.87,198.94,194.335,195.79,1661146
2025-03-18,192.485,193.91,189.4,192.9,1580624
2025-03-19,193.315,195.935,191.975,195.53,1362105
2025-03-20,192.75,199.28,192.325,194.97,1325940
2025-03-21,192.705,196.75,192.57,196.16,1137824
2025-03-24,200.16,203.55,200.16,203.04,1286092
2025-03-25,203.605,206.2,203.235,205.73,1190428
2025-03-26,205.95,206.01,199.94,201.1,1477856
2025-03-27,200.82,203.775,199.32,201.41,935426
2025-03-28,198.415,199.225,191.89,192.62,2123368
2025-03-31,188.11,191.31,184.64,190.28,2429655
2025-04-01,187.94,193.91,187.32,192.15,1722473
2025-04-02,187.8,198.31,187.8,196.07,1945633
