Date,Open,High,Low,Close,Volume
2021-10-01,85.455,85.645,85.435,85.625,195069
2021-10-04,85.495,85.61,85.435,85.555,198375
2021-10-05,85.505,85.515,85.325,85.355,160565
2021-10-06,85.38,85.405,85.31,85.385,101760
2021-10-07,85.235,85.235,85.13,85.135,122401
2021-10-08,85.035,85.045,84.885,84.935,109003
2021-10-11,84.815,84.875,84.785,84.785,78195
2021-10-12,84.94,85.135,84.92,85.12,233122
2021-10-13,85.21,85.345,85.2,85.345,109265
2021-10-14,85.39,85.495,85.345,85.49,114957
2021-10-15,85.32,85.33,85.245,85.285,145793
2021-10-18,85.165,85.285,85.075,85.245,198370
2021-10-19,85.115,85.115,84.985,84.985,108927
2021-10-20,84.955,85.05,84.89,84.9,128082
2021-10-21,84.875,84.875,84.755,84.765,123843
2021-10-22,84.855,84.975,84.8,84.94,160847
2021-10-25,84.925,85.055,84.925,84.985,99692
2021-10-26,85.045,85.155,84.94,85.155,169256
2021-10-27,85.325,85.575,85.205,85.475,189959
2021-10-28,85.44,85.505,85.305,85.365,151717
2021-10-29,85.17,85.44,85.14,85.345,197253
2021-11-01,84.995,85.175,84.985,85.165,155601
2021-11-02,85.225,85.365,85.22,85.335,67745
2021-11-03,85.39,85.395,85.085,85.195,86748
2021-11-04,85.265,85.5,85.265,85.455,83838
2021-11-05,85.615,85.895,85.58,85.825,99471
2021-11-08,85.685,85.725,85.605,85.64,226288
2021-11-09,85.925,86.015,85.875,85.885,126178
2021-11-10,85.745,85.745,85.215,85.315,137982
2021-11-11,85.345,85.345,85.155,85.175,77704
2021-11-12,85.275,85.355,85.11,85.175,106014
2021-11-15,85.095,85.095,84.82,84.825,173508
2021-11-16,84.845,84.945,84.75,84.765,136820
2021-11-17,84.735,84.955,84.725,84.955,102228
2021-11-18,84.915,85.075,84.915,85.04,106170
2021-11-19,85.245,85.31,85.195,85.23,91861
2021-11-22,85.005,85.035,84.755,84.805,137258
2021-11-23,84.685,84.71,84.5,84.5,127166
2021-11-24,84.47,84.685,84.435,84.685,68209
2021-11-26,85.08,85.315,85.045,85.255,124265
2021-11-29,84.98,85.285,84.975,85.265,181887
2021-11-30,85.49,85.685,85.295,85.44,426510
2021-12-01,85.155,85.355,85.065,85.345,268170
2021-12-02,85.41,85.425,85.195,85.335,195361
2021-12-03,85.265,85.82,85.255,85.685,84861
2021-12-06,85.705,85.71,85.415,85.465,110479
2021-12-07,85.335,85.45,85.25,85.275,83720
2021-12-08,85.19,85.19,84.965,85.035,232873
2021-12-09,85.115,85.175,84.975,85.04,243159
2021-12-10,85.155,85.255,85.055,85.075,102500
2021-12-13,85.25,85.425,85.25,85.35,83044
2021-12-14,85.21,85.285,85.085,85.205,124666
2021-12-15,85.055,85.205,84.975,85.155,116621
2021-12-16,85.155,85.315,85.155,85.215,126199
2021-12-17,85.355,85.47,85.325,85.355,83485
2021-12-20,85.385,85.425,85.205,85.225,82604
2021-12-21,85.17,85.17,84.95,85.135,165112
2021-12-22,85.22,85.22,85.115,85.215,66188
2021-12-23,84.875,84.875,84.745,84.84,70232
2021-12-27,84.835,84.925,84.825,84.875,80689
2021-12-28,85.015,85.015,84.815,84.855,106959
2021-12-29,84.67,84.715,84.53,84.605,196938
2021-12-30,84.665,84.775,84.565,84.77,102257
2021-12-31,84.8,84.9,84.74,84.745,162975
2022-01-03,84.435,84.435,84.215,84.215,129603
2022-01-04,84.1,84.15,84.01,84.12,75048
2022-01-05,84.18,84.2,83.86,83.885,83234
2022-01-06,83.745,83.82,83.69,83.79,60178
2022-01-07,83.705,83.715,83.455,83.565,133898
2022-01-10,83.375,83.51,83.315,83.49,57231
2022-01-11,83.46,83.68,83.42,83.68,83329
2022-01-12,83.735,83.78,83.625,83.635,144588
2022-01-13,83.645,83.78,83.575,83.78,99790
2022-01-14,83.555,83.555,83.305,83.315,135994
2022-01-18,83.04,83.055,82.8,82.8,93069
2022-01-19,82.955,83.11,82.945,83.005,145565
2022-01-20,83.095,83.13,83.04,83.07,118689
2022-01-21,83.355,83.48,83.295,83.385,60973
2022-01-24,83.425,83.5,83.255,83.265,213674
2022-01-25,83.305,83.385,83.14,83.17,122123
2022-01-26,83.24,83.255,82.7,82.7,213505
2022-01-27,82.895,83.075,82.895,82.955,84526
2022-01-28,82.78,83.075,82.78,83.055,246039
2022-01-31,82.895,83.07,82.865,82.985,151318
2022-02-01,82.885,82.905,82.705,82.835,76714
2022-02-02,82.975,83.13,82.92,82.935,165067
2022-02-03,82.605,82.675,82.51,82.615,123051
2022-02-04,82.125,82.195,82.025,82.085,188936
2022-02-07,82.095,82.205,82.02,82.165,113536
2022-02-08,81.995,82.005,81.905,81.905,201975
2022-02-09,82.03,82.14,81.945,81.955,71535
2022-02-10,81.535,81.685,81.2,81.2,140094
2022-02-11,81.435,81.76,81.175,81.745,149658
2022-02-14,81.35,81.42,81.18,81.28,192765
2022-02-15,81.165,81.28,81.085,81.095,122890
2022-02-16,81.205,81.205,80.975,81.205,133017
2022-02-17,81.31,81.485,81.255,81.385,122341
2022-02-18,81.505,81.53,81.425,81.515,61482
2022-02-22,81.4,81.465,81.31,81.465,161825
2022-02-23,81.305,81.305,81.085,81.085,134710
2022-02-24,81.39,81.47,81.145,81.245,201555
2022-02-25,81.215,81.315,81.15,81.315,89243
2022-02-28,81.66,81.945,81.66,81.915,144181
2022-03-01,82.04,82.47,82.04,82.225,167077
2022-03-02,81.865,81.895,81.255,81.255,81647
2022-03-03,81.455,81.625,81.36,81.55,154000
2022-03-04,81.895,82.015,81.775,81.865,216683
2022-03-07,81.535,81.695,81.38,81.405,99564
2022-03-08,81.0,81.11,80.97,81.035,225716
2022-03-09,80.895,80.99,80.79,80.875,84536
2022-03-10,80.58,80.605,80.29,80.415,95758
2022-03-11,80.395,80.48,80.335,80.355,105208
2022-03-14,79.905,79.94,79.615,79.62,190614
2022-03-15,79.95,80.005,79.665,79.775,131556
2022-03-16,79.79,79.875,79.375,79.87,66068
2022-03-17,79.985,80.155,79.895,80.0,78717
2022-03-18,80.05,80.225,80.05,80.165,91665
2022-03-21,79.795,79.825,79.325,79.385,156143
2022-03-22,79.17,79.245,79.055,79.145,93184
2022-03-23,79.265,79.515,79.165,79.515,70547
2022-03-24,79.175,79.4,79.105,79.39,85637
2022-03-25,79.07,79.07,78.62,78.725,260163
2022-03-28,78.875,79.04,78.755,78.92,159663
2022-03-29,79.235,79.315,79.0,79.295,98789
2022-03-30,79.1,79.5,79.1,79.475,96243
2022-03-31,79.52,79.66,79.475,79.51,77580
2022-04-01,78.825,79.285,78.78,79.135,123906
2022-04-04,79.185,79.225,78.975,79.215,106111
2022-04-05,79.01,79.01,78.385,78.385,104954
2022-04-06,77.975,78.355,77.925,78.185,101252
2022-04-07,78.095,78.175,77.915,78.02,100474
2022-04-08,77.705,77.77,77.53,77.57,119067
2022-04-11,77.4,77.415,77.18,77.27,118908
2022-04-12,77.62,77.735,77.475,77.505,140726
2022-04-13,77.665,77.81,77.585,77.625,107006
2022-04-14,77.5,77.515,77.01,77.045,115274
2022-04-18,77.05,77.05,76.78,76.815,85701
2022-04-19,76.52,76.65,76.305,76.335,356279
2022-04-20,76.62,76.875,76.59,76.805,104924
2022-04-21,76.595,76.62,76.17,76.39,98599
2022-04-22,76.13,76.455,76.13,76.305,112302
2022-04-25,76.71,77.015,76.705,76.82,108414
2022-04-26,77.115,77.16,76.91,76.985,203094
2022-04-27,76.96,77.06,76.665,76.68,151305
