Date,Open,High,Low,Close,Volume
2024-06-03,232.68,238.655,225.385,231.33,69388
2024-06-04,232.11,246.965,231.33,244.18,111956
2024-06-05,246.655,251.82,240.97,251.33,178709
2024-06-06,249.81,263.73,249.65,257.06,121724
2024-06-07,256.265,262.835,243.86,243.87,108455
2024-06-10,241.48,253.25,239.65,249.81,80668
2024-06-11,242.41,245.48,234.42,244.07,97748
2024-06-12,251.8,263.195,250.85,255.01,135981
2024-06-13,253.58,256.79,243.32,247.58,117131
2024-06-14,246.37,249.61,237.3,244.43,103703
2024-06-17,239.87,248.47,234.24,244.99,101066
2024-06-18,238.36,242.77,234.795,235.87,120591
2024-06-20,237.84,240.01,228.48,235.0,149360
2024-06-21,226.63,228.0,220.77,225.99,206579
2024-06-24,217.23,221.4,207.81,212.255,155035
2024-06-25,216.895,222.685,213.39,221.96,106824
2024-06-26,221.22,223.63,212.55,214.56,98116
2024-06-27,217.565,225.69,216.59,224.09,78522
2024-06-28,223.72,225.29,219.35,222.16,89374
2024-07-01,225.73,235.965,224.4,233.35,196597
2024-07-02,230.72,234.695,226.55,227.62,83988
2024-07-03,223.7,226.8,222.5,225.25,110460
2024-07-05,213.49,225.085,209.51,223.53,128126
2024-07-08,226.28,226.28,217.895,220.62,120379
2024-07-09,223.79,225.495,218.785,219.815,108597
2024-07-10,221.73,222.9,215.53,219.505,64779
2024-07-11,224.095,226.99,213.64,214.54,155576
2024-07-12,215.205,221.99,214.77,217.9,101200
2024-07-15,229.55,247.3,228.13,242.86,260494
2024-07-16,242.505,252.11,234.38,251.445,144797
2024-07-17,245.895,255.7,241.41,249.3,123260
2024-07-18,251.99,253.87,230.775,233.26,159326
2024-07-19,235.32,259.67,234.17,257.86,170613
2024-07-22,260.01,265.99,253.0,265.125,150709
2024-07-23,263.0,272.26,257.34,257.46,176901
2024-07-24,261.255,264.88,243.8,245.075,136288
2024-07-25,238.65,240.99,227.1,231.92,204218
2024-07-26,243.22,249.13,237.77,243.0,155527
2024-07-29,251.7,255.275,234.305,234.305,168652
2024-07-30,234.72,238.765,223.11,224.43,124575
2024-07-31,231.36,234.0,224.23,224.385,93974
2024-08-01,226.36,226.775,207.985,212.65,196430
2024-08-02,213.0,218.845,199.6,204.465,183711
2024-08-05,162.175,197.71,161.46,189.51,609883
2024-08-06,191.37,197.265,183.65,194.2,138263
2024-08-07,196.7,199.15,177.48,178.965,155294
2024-08-08,185.965,194.83,182.66,192.31,135553
2024-08-09,192.51,198.89,189.96,196.325,94587
2024-08-12,194.71,197.6,188.3,191.75,102564
2024-08-13,193.1,200.93,192.01,197.92,83129
2024-08-14,200.9,201.58,192.55,195.7,101279
2024-08-15,197.735,205.045,196.84,197.15,99628
2024-08-16,198.4,205.95,197.63,205.33,91487
2024-08-19,203.895,207.35,200.37,204.37,124956
2024-08-20,208.735,209.01,191.25,197.27,147024
2024-08-21,195.87,206.89,195.25,206.2,146263
2024-08-22,204.8,206.98,197.575,198.45,104323
2024-08-23,200.86,211.8,200.085,211.34,133197
2024-08-26,209.04,210.47,202.69,204.09,109882
2024-08-27,201.58,202.255,194.15,198.2,111024
2024-08-28,195.74,196.86,187.99,190.13,78008
2024-08-29,193.1,196.46,187.945,188.34,77713
2024-08-30,189.0,189.845,180.055,183.5,136621
2024-09-03,182.57,182.57,168.205,169.155,159663
2024-09-04,165.9,169.02,160.8,163.2,168771
2024-09-05,161.72,165.64,158.21,159.77,107154
2024-09-06,163.31,163.805,146.21,147.37,211164
2024-09-09,151.27,157.22,150.48,155.04,140822
2024-09-10,155.29,159.04,149.62,158.59,120886
2024-09-11,153.245,158.73,150.05,157.31,140727
2024-09-12,158.76,165.39,156.16,162.9,149533
2024-09-13,163.1,168.76,161.925,163.04,79773
2024-09-16,158.3,163.02,156.01,161.53,91433
2024-09-17,164.32,167.67,160.59,162.55,126313
2024-09-18,161.98,168.91,160.95,162.64,145797
2024-09-19,172.58,175.275,167.05,168.22,183158
2024-09-20,169.11,173.35,165.55,170.07,171091
2024-09-23,171.66,173.295,168.78,170.19,78438
2024-09-24,171.18,172.21,164.18,171.71,144344
2024-09-25,170.29,173.64,166.98,167.01,117827
2024-09-26,170.61,181.47,170.47,179.94,202071
2024-09-27,182.81,192.14,179.66,191.22,156074
2024-09-30,184.1,185.125,177.06,178.14,236755
2024-10-01,178.54,178.9,160.055,164.92,298871
2024-10-02,162.875,169.07,161.62,164.47,152163
2024-10-03,163.78,166.1,161.455,163.16,85013
2024-10-04,168.11,171.15,164.11,170.87,125690
2024-10-07,172.16,176.09,167.03,168.81,122775
2024-10-08,166.28,170.0,165.11,167.53,83209
2024-10-09,167.415,172.48,165.78,166.95,184539
2024-10-10,165.61,167.19,161.95,164.13,122574
2024-10-11,166.315,179.06,165.88,176.32,208196
2024-10-14,181.185,197.62,178.34,196.34,309156
2024-10-15,195.22,204.85,188.38,196.41,314363
2024-10-16,203.51,212.35,197.9,210.41,241519
2024-10-17,208.81,209.35,201.28,204.18,158721
2024-10-18,208.53,220.25,207.29,220.17,213339
2024-10-21,215.53,216.79,208.19,213.57,251657
2024-10-22,209.455,215.82,207.6,210.71,136498
2024-10-23,206.265,209.56,194.65,198.95,180644
2024-10-24,207.08,210.3,201.0,209.05,130241
2024-10-25,208.17,213.65,203.51,205.15,185016
2024-10-28,213.205,217.775,211.11,216.1,198876
2024-10-29,220.99,223.68,216.14,219.585,155659
2024-10-30,213.1,219.865,210.17,211.825,148634
2024-10-31,203.35,205.86,178.93,179.17,474487
2024-11-01,180.21,190.76,179.65,182.84,377541
2024-11-04,180.09,186.875,176.5,186.33,223065
2024-11-05,185.96,197.185,185.7,193.96,237954
2024-11-06,221.73,257.38,221.38,254.29,614875
2024-11-07,245.37,259.65,242.425,255.38,304815
2024-11-08,257.475,273.13,257.205,270.685,244895
2024-11-11,300.305,334.79,296.0,324.56,787457
2024-11-12,310.295,327.0,306.265,319.12,311093
2024-11-13,324.52,332.125,283.25,284.62,515061
2024-11-14,290.99,292.5,274.5,278.87,383934
2024-11-15,282.15,306.43,276.1,305.85,270925
2024-11-18,301.835,329.5,288.6,325.53,517171
2024-11-19,321.455,327.24,315.61,324.51,234860
2024-11-20,332.16,341.39,304.07,319.92,314748
2024-11-21,329.95,330.005,288.72,295.16,451125
2024-11-22,295.01,311.3,291.11,304.66,183782
2024-11-25,309.0,317.39,291.65,312.52,209129
2024-11-26,299.25,309.08,289.18,293.17,146790
2024-11-27,303.285,314.17,295.8,310.97,220259
2024-11-29,312.235,316.0,295.885,295.885,115337
2024-12-02,302.28,311.33,299.83,302.365,126061
2024-12-03,299.025,314.2,298.195,309.365,125373
2024-12-04,310.8,331.81,309.4,331.18,218349
2024-12-05,343.37,349.02,315.27,320.64,277611
2024-12-06,328.555,349.62,326.02,343.84,222056
2024-12-09,339.91,339.91,309.99,310.41,223954
2024-12-10,317.48,318.4,298.62,302.29,213095
2024-12-11,311.85,320.55,309.2,313.55,122474
2024-12-12,317.85,323.23,308.01,313.09,130617
2024-12-13,314.915,316.95,305.495,310.62,76844
2024-12-16,316.895,326.03,314.805,315.39,323656
2024-12-17,318.78,322.49,303.84,311.49,144479
2024-12-18,309.5,311.78,276.06,279.84,278344
2024-12-19,290.61,295.15,268.945,273.83,273888
2024-12-20,264.13,281.635,262.0,278.72,139642
2024-12-23,274.635,274.84,266.02,267.685,20005
2024-12-24,273.285,283.84,272.1,279.77,53163
2024-12-26,275.725,279.125,271.55,274.45,57785
2024-12-27,272.54,272.54,263.56,265.85,77755
2024-12-30,259.94,260.155,248.0,255.55,110816
2024-12-31,263.01,263.01,246.76,248.14,96354
2025-01-02,256.33,261.62,251.7,257.19,100875
2025-01-03,260.49,271.47,258.65,270.65,109168
2025-01-06,279.62,293.48,272.06,287.86,209711
2025-01-07,286.125,287.07,260.31,264.28,254629
2025-01-08,262.11,266.84,253.34,260.08,111616
2025-01-10,257.21,261.4,248.29,258.8,129017
2025-01-13,245.89,251.72,241.25,251.28,139876
2025-01-14,261.93,262.905,251.18,255.22,119234
2025-01-15,266.81,278.25,265.0,275.12,279891
2025-01-16,273.85,284.96,268.66,281.47,96124
2025-01-17,292.05,300.32,289.815,295.32,201173
2025-01-21,298.44,303.01,273.9,294.19,218178
2025-01-22,290.58,298.7,286.5,295.88,118391
2025-01-23,289.735,303.5,288.495,296.16,151009
2025-01-24,300.24,310.6,297.76,298.1,121619
2025-01-27,283.65,289.56,265.22,277.97,244058
2025-01-28,280.725,284.485,276.3,281.97,92448
2025-01-29,281.915,294.22,277.32,291.03,124700
2025-01-30,293.62,305.97,293.405,301.43,149178
2025-01-31,300.375,304.64,287.43,291.31,129436
2025-02-03,272.98,288.68,269.95,284.35,162340
2025-02-04,282.42,289.39,278.79,280.38,137980
2025-02-05,283.31,285.275,274.86,275.15,99610
2025-02-06,279.48,284.35,269.055,270.27,109602
2025-02-07,274.18,282.29,271.75,274.465,165655
2025-02-10,280.345,285.09,274.86,280.09,116098
2025-02-11,277.545,278.95,265.91,267.0,126272
2025-02-12,265.465,277.79,264.33,274.87,133532
2025-02-13,284.16,302.305,282.54,298.15,308365
2025-02-14,287.01,291.25,274.02,274.18,247537
2025-02-18,278.41,278.84,260.61,264.68,287399
2025-02-19,265.12,266.16,258.0,258.63,109027
2025-02-20,260.435,261.9,250.55,256.6,114642
2025-02-21,267.135,267.135,235.01,235.42,308036
2025-02-24,239.13,240.13,223.79,227.065,404262
2025-02-25,219.8,222.27,205.21,212.51,335167
2025-02-26,212.63,217.97,208.02,213.01,229655
2025-02-27,218.045,220.82,207.82,208.32,210825
2025-02-28,204.84,216.44,201.19,215.645,246814
2025-03-03,232.315,232.93,203.54,205.83,399144
2025-03-04,200.83,218.78,193.35,212.61,343110
2025-03-05,215.38,223.025,208.01,222.6,180590
2025-03-06,215.435,225.985,213.16,214.33,233625
2025-03-07,214.89,221.66,207.01,217.23,191635
2025-03-10,205.32,206.72,176.94,179.225,495345
2025-03-11,186.2,195.575,183.63,191.74,338738
2025-03-12,195.41,199.125,183.92,191.84,175290
2025-03-13,188.58,188.58,177.13,177.35,281467
2025-03-14,183.8,186.6,179.26,182.96,221335
2025-03-17,181.89,193.21,180.96,188.96,144799
2025-03-18,184.69,186.29,178.955,181.12,149707
2025-03-19,185.32,193.54,183.23,189.85,174521
2025-03-20,186.37,193.605,186.35,190.42,170386
