Date,Open,High,Low,Close,Volume
2021-03-03,102.6,103.75,99.83,100.59,1565500
2021-03-04,100.68,103.68,100.38,101.62,3787780
2021-03-05,103.03,105.29,101.52,104.83,2238140
2021-03-08,104.22,105.55,100.26,100.26,2079320
2021-03-09,102.69,103.11,101.78,101.9,2286640
2021-03-10,102.75,102.9,101.02,101.79,1887580
2021-03-11,103.15,105.56,102.97,105.04,1299080
2021-03-12,103.85,103.85,101.65,102.62,2198080
2021-03-15,102.25,102.74,101.42,102.69,1476680
2021-03-16,103.1,105.6,103.08,104.13,1642500
2021-03-17,103.42,104.93,102.33,104.12,1610940
2021-03-18,102.92,103.27,100.99,101.1,1955520
2021-03-19,101.56,101.8,100.19,101.34,2122140
2021-03-22,101.4,102.39,100.76,101.5,1636660
2021-03-23,102.02,103.16,101.56,102.07,1896020
2021-03-24,102.69,103.37,101.52,101.67,1507720
2021-03-25,101.3,102.28,99.84,101.68,2143060
2021-03-26,101.49,101.96,100.28,101.4,1452320
2021-03-29,101.11,102.42,100.29,102.28,1329560
2021-03-30,102.68,103.09,101.85,102.29,1487040
2021-03-31,102.63,104.3,102.38,103.12,2032900
2021-04-01,104.74,106.79,104.6,106.53,2171700
2021-04-05,107.28,111.41,107.28,110.94,1882580
2021-04-06,110.57,111.38,110.12,110.5,1836180
2021-04-07,110.67,112.21,110.67,111.86,1300380
2021-04-08,113.15,113.4,112.16,112.44,1750060
2021-04-09,112.36,113.68,111.89,113.54,1408520
2021-04-12,112.84,112.84,111.39,112.24,1684840
2021-04-13,112.53,113.15,112.18,112.72,758940
2021-04-14,113.05,113.26,111.81,112.03,1172480
2021-04-15,113.15,114.72,112.63,114.28,1749320
2021-04-16,114.44,114.58,113.61,114.18,1121340
2021-04-19,113.8,115.19,113.76,114.43,1117040
2021-04-20,114.62,114.86,112.95,113.99,1435100
2021-04-21,113.76,113.98,112.25,113.86,1312780
2021-04-22,113.85,114.41,112.17,112.67,1627980
2021-04-23,113.35,115.25,113.13,115.0,1453100
2021-04-26,115.23,116.21,114.87,115.46,2186960
2021-04-27,115.87,115.88,114.33,114.54,2193820
2021-04-28,119.74,121.5,117.69,117.94,4492620
2021-04-29,119.47,120.16,118.75,119.58,1852540
2021-04-30,118.44,119.04,117.4,117.71,2148560
2021-05-03,118.21,119.07,116.81,117.18,1580200
2021-05-04,115.77,116.13,112.88,115.31,2952680
2021-05-05,116.34,116.71,115.5,115.81,1554800
2021-05-06,115.24,116.83,114.76,116.83,1503860
2021-05-07,118.22,118.53,117.35,117.57,1539240
2021-05-10,116.42,116.42,114.29,114.58,1761700
2021-05-11,112.15,113.97,111.79,113.5,1973840
2021-05-12,111.42,112.36,109.68,110.02,3154380
2021-05-13,111.29,111.96,110.37,111.44,1979780
2021-05-14,112.54,114.23,112.54,113.92,1601680
2021-05-17,113.51,114.48,112.93,114.41,1364780
2021-05-18,115.1,115.31,113.12,113.13,930320
2021-05-19,111.47,113.71,111.31,113.56,1646620
2021-05-20,114.4,115.56,114.29,115.33,1000200
2021-05-21,115.91,115.93,114.5,114.7,1856240
2021-05-24,115.79,118.24,115.6,118.02,1680820
2021-05-25,118.61,119.16,117.77,118.18,1169400
2021-05-26,118.34,119.39,118.34,119.08,1135200
2021-05-27,119.28,119.37,118.15,118.15,1155340
2021-05-28,118.55,118.75,117.65,117.91,862940
2021-06-01,118.71,119.22,117.8,119.05,1006040
2021-06-02,119.33,119.65,117.65,118.55,1000680
2021-06-03,117.41,117.85,116.5,117.42,1275120
2021-06-04,118.43,119.92,118.43,119.63,1205680
2021-06-07,119.39,120.18,119.06,120.15,1226580
2021-06-08,120.76,120.94,119.75,119.87,1535380
2021-06-09,120.54,120.62,119.89,120.44,1079960
2021-06-10,120.42,121.8,120.3,121.8,1846780
2021-06-11,121.9,121.9,120.98,121.5,882680
2021-06-14,121.57,122.42,121.0,122.41,805520
2021-06-15,122.45,122.72,121.14,121.41,777960
2021-06-16,121.75,121.89,119.53,120.66,1274200
2021-06-17,120.63,122.52,120.63,121.73,1264680
2021-06-18,121.51,121.51,120.04,120.04,1212860
2021-06-21,120.44,122.0,120.06,121.81,858840
2021-06-22,121.71,122.38,121.13,122.29,1438840
2021-06-23,122.18,123.09,121.85,122.12,1192560
2021-06-24,122.73,123.0,122.32,122.5,1691780
2021-06-25,122.26,122.63,121.58,122.46,1291040
2021-06-28,122.65,122.76,121.43,122.6,1743580
2021-06-29,122.88,122.92,121.77,122.31,853780
2021-06-30,122.2,122.2,121.36,122.09,1368720
2021-07-01,121.8,122.57,121.54,122.45,928720
2021-07-02,123.14,125.33,123.14,125.27,1028580
2021-07-06,125.66,126.42,124.8,126.12,1163940
2021-07-07,127.07,127.26,126.28,126.49,961400
2021-07-08,124.53,125.58,124.27,125.06,1208680
2021-07-09,125.1,125.73,124.66,125.49,607060
2021-07-12,126.07,127.06,125.64,126.9,689100
2021-07-13,126.98,128.04,126.71,127.24,1018080
2021-07-14,128.05,129.27,127.96,128.21,1129080
2021-07-15,128.58,128.69,126.6,126.97,1136800
2021-07-16,127.44,127.75,126.16,127.08,1149000
2021-07-19,125.96,126.04,123.56,124.53,1297360
2021-07-20,125.36,127.01,124.4,126.27,1036220
2021-07-21,126.05,127.58,126.03,127.53,746480
2021-07-22,127.8,128.43,127.65,128.38,569800
2021-07-23,130.49,133.34,129.95,132.97,1215120
2021-07-26,133.04,134.22,132.36,134.18,1316700
2021-07-27,134.3,134.33,130.16,131.92,2628520
2021-07-28,136.31,138.26,135.38,136.25,4592340
2021-07-29,136.19,136.63,135.56,135.79,1704520
2021-07-30,134.47,135.27,134.36,134.73,1118920
2021-08-02,135.25,135.25,134.09,134.98,920720
2021-08-03,134.82,135.71,133.47,135.68,1120520
2021-08-04,135.37,135.63,134.57,135.11,916000
2021-08-05,135.42,136.34,134.93,136.29,907740
2021-08-06,136.0,136.42,135.33,135.73,903380
2021-08-09,135.63,137.17,135.38,136.95,945700
2021-08-10,137.16,137.73,136.44,136.8,887240
2021-08-11,137.5,137.64,136.27,136.27,813840
2021-08-12,136.1,137.27,135.45,137.2,934300
2021-08-13,137.22,137.85,137.06,137.76,838340
2021-08-16,137.43,138.33,135.3,138.33,1216800
2021-08-17,137.43,138.18,136.12,136.61,994000
2021-08-18,136.5,137.04,135.37,135.43,745800
2021-08-19,134.81,136.29,134.5,135.75,827800
2021-08-20,135.81,137.54,135.79,137.48,1318320
2021-08-23,137.96,140.84,137.67,140.03,1429460
2021-08-24,140.54,142.03,140.45,141.28,1323580
2021-08-25,141.48,142.14,141.39,142.11,906060
2021-08-26,141.88,142.4,141.45,141.45,830240
2021-08-27,141.56,144.48,141.56,144.01,1694340
2021-08-30,144.29,145.91,144.17,144.63,1472220
2021-08-31,145.02,145.15,144.37,144.78,841800
2021-09-01,145.13,146.25,144.9,145.14,998780
2021-09-02,145.22,145.48,143.23,143.26,2188320
2021-09-03,143.13,144.1,142.49,143.75,1125500
2021-09-07,143.99,144.56,143.65,144.27,1301740
2021-09-08,144.12,144.31,143.02,143.69,909720
2021-09-09,143.88,144.26,143.26,143.54,798980
2021-09-10,144.47,144.6,140.79,140.92,2295500
2021-09-13,141.89,142.89,141.3,142.37,1142920
2021-09-14,143.0,143.36,141.78,142.51,1368280
2021-09-15,142.83,144.45,141.47,144.45,1240600
2021-09-16,143.84,144.18,142.42,143.58,1269740
2021-09-17,143.13,143.35,140.47,140.8,2366640
2021-09-20,137.75,138.97,136.48,138.77,2240680
2021-09-21,139.9,139.97,138.33,138.96,2372960
2021-09-22,139.3,140.89,138.64,140.24,1623520
2021-09-23,140.99,141.67,140.61,141.22,1286340
2021-09-24,140.53,142.28,140.32,142.28,840540
2021-09-27,141.29,141.78,140.08,141.09,1172560
2021-09-28,138.65,139.04,135.39,135.86,2041400
2021-09-29,136.89,136.98,133.89,134.28,1935080
2021-09-30,134.3,135.54,133.59,133.62,2735680
2021-10-01,134.19,136.9,134.17,136.38,1260300
2021-10-04,135.58,135.7,131.31,133.77,2231260
2021-10-05,134.61,137.17,134.29,135.94,1361080
2021-10-06,134.79,137.74,134.76,137.64,1361760
2021-10-07,139.03,140.04,138.74,139.31,1085440
2021-10-08,139.91,140.26,139.31,139.86,985380
2021-10-11,139.4,140.65,138.92,138.92,1096680
2021-10-12,139.32,139.32,135.84,136.43,1807760
2021-10-13,137.45,137.85,136.6,137.67,882620
2021-10-14,139.58,141.32,138.95,141.17,1271200
2021-10-15,141.54,141.54,140.79,141.43,1210300
2021-10-18,141.17,142.76,141.17,142.76,795520
2021-10-19,143.36,143.54,142.69,143.24,887520
2021-10-20,143.26,143.33,141.38,141.71,1311440
2021-10-21,141.77,142.03,140.73,141.95,1074220
2021-10-22,139.37,140.5,136.2,137.61,2497980
2021-10-25,137.64,137.88,135.42,137.37,2731160
2021-10-26,139.44,139.96,138.34,139.31,2647060
2021-10-27,139.7,148.58,139.69,146.26,3739180
2021-10-28,147.11,147.11,144.75,145.79,1289600
2021-10-29,145.33,148.12,144.68,147.99,1522760
2021-11-01,147.96,148.0,143.36,143.46,2564660
2021-11-02,144.51,146.59,144.35,145.53,1608800
2021-11-03,145.93,146.65,144.68,146.65,1053340
2021-11-04,147.17,149.72,146.52,148.3,1152960
2021-11-05,149.16,150.29,148.2,148.84,1528000
2021-11-08,149.71,150.54,148.52,149.04,678100
2021-11-09,149.51,149.63,147.26,148.95,985720
2021-11-10,147.92,148.05,144.62,146.05,1401180
2021-11-11,146.46,147.52,145.67,145.77,593300
2021-11-12,146.63,148.82,145.6,148.82,795480
2021-11-15,148.96,149.5,147.61,148.47,836720
2021-11-16,147.87,148.66,147.55,147.92,699640
2021-11-17,148.23,148.48,147.37,148.15,1026600
2021-11-18,148.24,150.5,147.88,149.91,1250260
2021-11-19,150.11,150.8,148.91,148.91,1352820
2021-11-22,149.36,149.54,146.18,146.36,1315960
2021-11-23,146.2,146.64,144.16,145.87,1611720
2021-11-24,145.24,146.18,144.4,146.13,854740
2021-11-26,144.02,144.51,141.96,142.42,1160220
2021-11-29,144.18,146.25,144.18,145.54,1547100
2021-11-30,144.89,145.93,141.7,141.92,2392860
2021-12-01,144.13,145.91,140.95,140.95,1996980
2021-12-02,141.11,143.73,140.45,142.8,2173660
2021-12-03,143.75,144.36,140.38,142.32,2120320
2021-12-06,143.23,143.85,140.33,143.18,1421300
2021-12-07,145.58,147.51,145.3,147.29,1451680
2021-12-08,147.61,148.28,146.57,148.27,842520
2021-12-09,147.64,149.01,147.19,147.65,901580
2021-12-10,148.5,148.93,146.87,148.0,1011720
2021-12-13,147.26,147.64,145.78,145.78,935020
2021-12-14,143.73,144.37,141.3,143.96,1557560
2021-12-15,143.42,146.68,141.89,146.45,1589680
2021-12-16,147.01,147.52,143.76,144.56,1799860
