Date,Open,High,Low,Close,Volume
2021-10-01,87.365,87.48,87.15,87.39,835557
2021-10-04,87.335,87.375,87.085,87.11,731240
2021-10-05,87.13,87.215,87.03,87.055,401567
2021-10-06,86.845,87.04,86.77,87.01,930761
2021-10-07,87.135,87.295,86.96,87.035,760665
2021-10-08,87.01,87.035,86.77,86.77,824858
2021-10-11,86.755,86.805,86.49,86.515,365327
2021-10-12,86.615,86.765,86.58,86.655,757186
2021-10-13,86.71,86.88,86.565,86.875,566573
2021-10-14,87.055,87.38,87.035,87.365,829479
2021-10-15,87.385,87.385,87.17,87.22,960013
2021-10-18,87.03,87.18,86.995,87.18,328837
2021-10-19,87.19,87.25,87.13,87.23,687466
2021-10-20,87.225,87.285,87.19,87.265,384331
2021-10-21,87.275,87.29,86.995,87.04,462533
2021-10-22,87.02,87.055,86.805,86.845,615613
2021-10-25,86.95,87.06,86.77,87.005,712269
2021-10-26,87.095,87.2,87.025,87.025,554703
2021-10-27,87.11,87.12,86.935,86.935,415501
2021-10-28,87.025,87.15,87.025,87.14,305897
2021-10-29,87.015,87.045,86.935,86.94,817102
2021-11-01,86.735,86.775,86.55,86.58,715937
2021-11-02,86.575,86.835,86.575,86.755,689367
2021-11-03,86.735,86.955,86.695,86.925,734845
2021-11-04,87.01,87.17,87.005,87.16,804939
2021-11-05,87.295,87.52,87.25,87.51,903002
2021-11-08,87.585,87.6,87.34,87.37,356159
2021-11-09,87.385,87.45,87.28,87.45,558361
2021-11-10,87.315,87.325,86.94,86.96,1244775
2021-11-11,87.035,87.035,86.83,86.83,578910
2021-11-12,86.905,87.04,86.845,86.87,899439
2021-11-15,86.915,86.915,86.73,86.765,521504
2021-11-16,86.765,86.865,86.74,86.81,446308
2021-11-17,86.835,86.835,86.7,86.71,523868
2021-11-18,86.795,86.8,86.63,86.63,463146
2021-11-19,86.625,86.76,86.56,86.56,713332
2021-11-22,86.655,86.665,86.22,86.24,488912
2021-11-23,86.245,86.365,86.035,86.12,815848
2021-11-24,85.995,86.105,85.76,86.08,972155
2021-11-26,85.6,85.62,85.35,85.47,1163201
2021-11-29,85.78,86.125,85.77,86.005,903088
2021-11-30,85.905,86.065,85.54,85.635,1103420
2021-12-01,85.755,85.935,85.325,85.365,1240339
2021-12-02,85.435,86.06,85.435,85.985,1686348
2021-12-03,86.035,86.1,85.83,86.005,1425762
