Date,Open,High,Low,Close,Volume
2021-10-01,219.88,223.5,217.76,222.3,515519
2021-10-04,222.09,222.26,219.06,220.26,268022
2021-10-05,220.95,223.045,219.95,220.975,217131
2021-10-06,218.685,220.14,216.78,219.92,395576
2021-10-07,221.51,224.925,221.41,223.38,339695
2021-10-08,223.51,224.06,221.51,221.57,310192
2021-10-11,222.09,223.53,220.32,220.37,215880
2021-10-12,220.88,222.46,220.4,221.56,177545
2021-10-13,221.87,222.65,219.9,222.52,230835
2021-10-14,224.8,225.985,224.32,225.82,302626
2021-10-15,227.95,228.38,225.075,225.1,260373
2021-10-18,224.04,225.67,223.76,225.08,297988
2021-10-19,226.05,226.855,224.64,225.92,216772
2021-10-20,225.94,227.96,225.19,227.34,260252
2021-10-21,227.25,229.01,226.68,228.0,292984
2021-10-22,227.59,228.37,225.69,227.46,185318
2021-10-25,227.86,229.89,227.42,229.59,218277
2021-10-26,230.02,230.69,227.88,227.89,543346
2021-10-27,227.22,227.43,223.52,223.55,292200
2021-10-28,224.9,228.255,224.9,228.06,243198
2021-10-29,227.8,228.78,226.99,228.04,316961
2021-11-01,229.27,234.165,228.91,233.92,368637
2021-11-02,234.385,234.845,232.71,234.49,293788
2021-11-03,234.16,239.76,234.05,238.66,474329
2021-11-04,239.48,240.925,237.635,238.58,233384
2021-11-05,241.24,243.39,240.25,241.93,475147
2021-11-08,243.73,244.385,242.01,242.61,218235
2021-11-09,242.23,242.51,239.61,241.15,297435
2021-11-10,240.1,241.51,236.34,237.35,341319
2021-11-11,238.3,240.345,237.69,239.25,260406
2021-11-12,239.93,240.14,238.77,239.43,237445
2021-11-15,240.705,240.755,237.565,238.54,240775
2021-11-16,238.0,239.34,237.01,238.98,216953
2021-11-17,237.93,238.08,235.16,235.885,244181
2021-11-18,236.91,236.97,233.08,234.94,273417
2021-11-19,233.33,234.4,232.44,232.72,283767
2021-11-22,234.29,235.73,231.63,231.72,435655
2021-11-23,231.37,232.96,228.68,231.39,339246
2021-11-24,229.41,231.98,228.77,231.64,288617
2021-11-26,224.92,226.01,219.65,222.86,856510
2021-11-29,226.22,226.73,221.245,222.69,839115
2021-11-30,220.71,221.76,216.005,218.24,939286
2021-12-01,223.16,224.2,213.315,213.315,972825
2021-12-02,214.33,219.89,213.94,219.32,639403
2021-12-03,220.3,220.34,212.73,214.67,629447
2021-12-06,216.44,220.67,213.79,218.96,366085
2021-12-07,222.105,226.03,221.98,224.03,617649
2021-12-08,224.705,226.53,223.12,225.62,264309
2021-12-09,223.91,224.88,220.5,220.55,333527
2021-12-10,222.15,222.69,218.34,219.91,334901
2021-12-13,218.46,219.03,214.75,216.0,524364
2021-12-14,214.52,217.505,213.315,214.32,558053
2021-12-15,214.26,218.14,211.09,217.65,1018514
2021-12-16,219.41,219.88,212.28,213.18,1057453
2021-12-17,212.4,217.29,210.37,215.22,919267
2021-12-20,211.97,212.87,208.78,212.1,483131
2021-12-21,214.2,218.375,214.18,218.19,426962
2021-12-22,217.7,220.33,217.15,220.26,305945
2021-12-23,220.85,222.78,220.36,222.02,270998
2021-12-27,222.29,224.22,220.66,224.21,282448
2021-12-28,223.83,225.7,222.42,222.76,283612
2021-12-29,222.69,223.405,221.32,223.02,258829
2021-12-30,222.89,225.39,222.715,222.92,375039
2021-12-31,222.47,224.11,222.46,222.52,320325
2022-01-03,223.81,226.65,222.83,225.31,422644
2022-01-04,225.99,227.12,223.54,225.025,332061
2022-01-05,224.88,225.89,217.33,217.33,474908
2022-01-06,217.8,220.38,215.86,218.61,497227
2022-01-07,218.6,220.35,215.93,215.99,376113
2022-01-10,214.77,215.36,211.155,215.35,432455
2022-01-11,215.58,217.79,212.99,217.46,458767
