Date,Open,High,Low,Close,Volume
2021-03-03,260.29,260.97,255.13,255.34,624407
2021-03-04,256.47,266.47,253.52,257.33,1368254
2021-03-05,260.56,265.42,255.65,264.1,1034788
2021-03-08,265.155,265.365,255.05,255.16,978205
2021-03-09,260.95,268.5,259.89,265.55,643085
2021-03-10,268.64,268.95,262.91,264.91,588447
2021-03-11,267.94,277.86,267.94,273.69,669906
2021-03-12,268.355,269.66,264.03,268.24,666295
2021-03-15,269.07,275.92,268.5,273.67,521352
2021-03-16,275.98,282.12,275.04,278.99,724671
2021-03-17,275.9,286.21,275.44,283.89,940715
2021-03-18,279.79,285.15,278.375,278.43,768796
2021-03-19,281.57,292.735,281.56,289.89,1387910
2021-03-22,290.49,299.69,286.87,293.355,799167
2021-03-23,293.26,297.93,289.86,290.51,1048089
2021-03-24,290.93,291.72,281.2,282.19,479991
2021-03-25,280.66,288.0,277.76,278.59,759955
2021-03-26,278.5,284.41,278.0,282.94,501159
2021-03-29,285.9,293.13,284.755,290.91,699000
2021-03-30,289.9,292.445,286.71,287.87,820678
2021-03-31,290.02,296.49,288.65,294.45,482733
2021-04-01,298.78,302.39,296.61,298.7,509790
2021-04-05,300.855,310.68,300.72,308.9,1024903
2021-04-06,308.59,311.24,305.29,306.28,420020
2021-04-07,306.58,314.23,305.68,313.205,466966
2021-04-08,314.85,315.85,310.11,313.15,538921
2021-04-09,311.58,314.69,310.37,312.41,420167
2021-04-12,310.75,311.93,308.03,311.79,333285
2021-04-13,311.9,314.38,309.41,309.79,391065
2021-04-14,307.3,308.0,301.98,302.56,471880
2021-04-15,305.96,310.12,304.1,307.58,497043
2021-04-16,308.42,308.76,304.7,306.13,368192
2021-04-19,305.14,307.47,300.58,301.95,538373
2021-04-20,301.95,305.1,297.24,302.405,675218
2021-04-21,301.87,301.87,297.47,301.51,529227
2021-04-22,301.12,302.92,296.09,296.44,405654
2021-04-23,298.76,302.58,297.51,301.13,1481944
2021-04-26,303.41,305.71,301.64,303.16,908431
2021-04-27,304.28,305.28,301.32,303.38,573889
2021-04-28,307.12,310.92,305.45,306.94,835265
2021-04-29,330.19,331.77,321.745,329.49,1574192
2021-04-30,326.14,329.78,324.54,324.89,861252
2021-05-03,326.04,328.37,321.9,322.63,508753
2021-05-04,320.36,322.11,313.135,318.4,741494
2021-05-05,319.2,321.0,314.5,314.96,428766
2021-05-06,314.46,320.23,313.3,320.23,868551
2021-05-07,322.69,322.795,318.79,318.82,609385
2021-05-10,314.49,314.49,304.85,305.95,965867
2021-05-11,300.56,306.83,299.77,306.485,699263
2021-05-12,301.03,304.91,298.235,302.46,934149
2021-05-13,305.95,308.85,302.81,305.19,631645
2021-05-14,309.54,316.85,309.11,315.85,563226
2021-05-17,313.64,315.66,311.635,315.44,435931
2021-05-18,315.59,316.3,309.85,309.94,444832
2021-05-19,303.87,314.6,303.76,313.48,577630
2021-05-20,313.36,319.18,313.35,318.74,339354
2021-05-21,319.29,319.88,315.87,316.15,315601
2021-05-24,318.38,325.92,318.2,324.68,496988
2021-05-25,326.845,329.1,324.89,327.86,629899
2021-05-26,328.4,329.74,325.9,327.92,364547
2021-05-27,327.81,333.77,326.82,332.68,531503
2021-05-28,330.98,332.86,328.33,328.96,459394
2021-06-01,330.15,331.36,326.69,329.06,732899
2021-06-02,330.38,331.78,327.13,329.27,373713
2021-06-03,325.735,327.33,323.53,326.1,445067
2021-06-04,325.9,332.3,325.26,330.22,315789
2021-06-07,329.48,337.69,328.95,336.67,598873
2021-06-08,336.88,338.24,332.29,333.77,497953
2021-06-09,335.75,336.76,330.04,330.16,420756
2021-06-10,330.44,333.92,328.58,332.45,446354
2021-06-11,332.58,332.77,328.95,331.25,333249
2021-06-14,331.42,336.735,329.82,336.68,383645
2021-06-15,337.21,339.89,335.09,336.94,504103
2021-06-16,336.94,337.54,328.8,330.76,693522
2021-06-17,330.3,337.94,330.28,336.4,582381
2021-06-18,334.35,336.025,329.135,329.475,561861
2021-06-21,331.06,332.89,327.65,332.45,408757
2021-06-22,332.61,339.88,332.61,339.17,448788
2021-06-23,339.12,343.38,338.25,340.54,505374
2021-06-24,341.89,344.89,341.83,343.12,417317
2021-06-25,342.41,343.71,339.73,341.18,381116
2021-06-28,342.46,358.1,341.82,355.76,984260
2021-06-29,356.45,356.71,349.05,351.845,582206
2021-06-30,351.81,352.8,347.21,347.775,473253
2021-07-01,346.52,354.6,346.52,354.51,625998
2021-07-02,355.08,356.38,352.7,354.66,294853
2021-07-06,356.75,358.62,349.21,352.75,424961
2021-07-07,355.145,356.48,350.03,350.445,357021
2021-07-08,345.69,348.26,342.58,345.69,472549
2021-07-09,345.64,350.67,345.5,350.38,543132
2021-07-12,350.89,354.11,349.66,353.0,351934
2021-07-13,351.8,355.24,348.86,351.77,312830
2021-07-14,354.69,355.03,346.73,347.47,584714
2021-07-15,349.12,349.12,340.3,344.29,525702
2021-07-16,344.92,345.92,340.14,341.1,493051
2021-07-19,337.57,339.76,334.57,336.74,614490
2021-07-20,338.56,343.41,334.55,341.83,438839
2021-07-21,341.66,346.5,341.32,346.27,295991
2021-07-22,346.68,351.495,345.25,351.01,630431
2021-07-23,360.72,375.275,357.25,369.825,1215773
2021-07-26,369.5,374.415,368.38,372.5,717871
2021-07-27,371.9,373.095,364.65,367.78,424474
2021-07-28,374.49,377.45,367.15,373.38,1077626
2021-07-29,361.05,365.38,356.75,358.39,1179542
2021-07-30,353.99,360.665,353.01,356.39,511221
2021-08-02,358.15,359.29,350.76,351.92,1272849
2021-08-03,352.74,353.74,347.74,351.22,323461
2021-08-04,352.6,360.45,351.52,359.05,420161
2021-08-05,359.71,363.89,357.0,363.07,294193
2021-08-06,361.395,365.06,361.395,363.425,273731
2021-08-09,363.58,365.63,360.77,361.54,236232
2021-08-10,361.83,364.02,359.05,361.18,185310
2021-08-11,362.15,362.15,357.85,359.93,246066
2021-08-12,358.9,362.99,357.14,362.72,188515
2021-08-13,362.865,364.64,361.51,363.2,165289
2021-08-16,362.86,366.94,357.5,366.61,348593
2021-08-17,362.99,364.63,355.17,358.5,308989
2021-08-18,356.07,359.85,355.21,355.445,299468
2021-08-19,351.78,357.48,351.72,355.22,410339
2021-08-20,353.9,359.97,353.57,359.31,255339
2021-08-23,359.46,365.69,359.17,363.16,281540
2021-08-24,363.87,367.905,361.9,365.4,226368
2021-08-25,365.6,370.825,365.48,368.4,323722
2021-08-26,368.17,369.35,364.14,364.47,220534
2021-08-27,365.42,373.66,364.13,372.59,310144
2021-08-30,372.34,381.445,370.89,380.56,285178
2021-08-31,379.92,382.635,378.87,379.45,356978
2021-09-01,379.36,384.25,378.89,382.12,334371
2021-09-02,381.29,381.395,374.12,375.22,499453
2021-09-03,374.67,377.12,373.13,376.25,209498
2021-09-07,376.03,382.93,373.21,382.2,377675
2021-09-08,380.1,380.77,374.86,377.59,821246
2021-09-09,377.675,379.78,376.565,377.92,296697
2021-09-10,381.285,383.76,378.405,378.94,299623
2021-09-13,381.68,381.68,374.405,376.51,454832
2021-09-14,377.535,378.54,375.2,376.57,306427
2021-09-15,377.0,377.475,367.75,373.89,910534
2021-09-16,373.09,373.51,369.755,373.08,564424
2021-09-17,371.0,371.06,361.605,364.69,851343
2021-09-20,359.46,361.0,350.0,355.69,743416
2021-09-21,358.56,360.03,355.49,357.15,360877
2021-09-22,346.96,349.79,340.705,343.15,2061537
2021-09-23,345.265,349.575,343.04,345.925,799507
2021-09-24,343.17,354.335,342.57,353.01,614044
2021-09-27,349.91,355.11,347.16,353.54,502167
2021-09-28,347.62,349.32,338.92,340.66,928941
2021-09-29,342.98,345.15,338.905,339.62,444599
2021-09-30,340.67,342.72,338.315,339.25,416327
2021-10-01,341.795,344.94,338.68,342.78,457339
2021-10-04,335.32,335.835,322.72,326.43,1758192
2021-10-05,328.8,335.135,326.305,332.9,780249
2021-10-06,329.15,334.36,325.89,333.59,824482
2021-10-07,337.16,338.77,329.045,329.09,2207019
2021-10-08,331.405,333.27,328.8,329.95,611990
2021-10-11,327.315,330.44,325.33,325.38,660001
2021-10-12,322.575,324.32,317.46,323.79,1117865
2021-10-13,326.78,326.87,322.735,324.58,366104
