Date,Open,High,Low,Close,Volume
2024-06-03,470.77,479.42,468.45,477.46,198819
2024-06-04,477.16,478.88,473.3,476.97,148615
2024-06-05,484.49,496.62,483.97,495.02,380288
2024-06-06,493.645,502.59,490.97,493.72,201572
2024-06-07,495.125,498.83,490.27,492.875,121294
2024-06-10,493.925,502.65,493.925,502.605,210161
2024-06-11,500.05,507.56,498.35,507.46,127222
2024-06-12,513.52,513.52,504.54,508.6,205422
2024-06-13,505.335,509.185,501.37,504.275,217585
2024-06-14,501.9,507.11,500.87,504.38,120807
2024-06-17,501.655,510.65,496.11,506.675,161143
2024-06-18,504.0,505.335,495.15,499.7,177805
2024-06-20,502.0,503.34,496.92,501.88,230219
2024-06-21,502.75,502.75,492.565,494.68,273285
2024-06-24,499.27,507.58,494.495,498.895,209522
2024-06-25,497.01,510.61,495.75,510.4,215244
2024-06-26,506.125,513.57,505.61,513.17,202400
2024-06-27,514.6,522.74,514.435,519.335,126376
2024-06-28,517.225,521.73,504.0,504.47,289063
2024-07-01,505.055,506.3,493.44,504.6,250569
2024-07-02,500.76,510.44,499.54,509.52,180089
2024-07-03,506.31,511.21,506.215,510.02,153030
2024-07-05,511.81,540.77,511.81,540.04,553351
2024-07-08,542.515,542.655,526.72,529.27,231806
2024-07-09,533.78,537.3,528.24,530.01,150039
2024-07-10,530.855,538.8,528.84,534.57,177894
2024-07-11,530.88,535.13,508.6,512.66,383807
2024-07-12,497.91,507.95,494.28,498.8,418306
2024-07-15,498.86,506.63,493.47,496.225,181303
2024-07-16,501.08,503.78,485.98,489.68,206047
2024-07-17,478.185,478.185,459.15,462.05,819071
2024-07-18,474.72,479.13,464.61,475.965,538566
2024-07-19,476.145,486.67,475.89,476.955,369447
2024-07-22,486.695,491.98,484.05,487.2,341631
2024-07-23,490.65,495.16,487.88,488.745,277785
2024-07-24,471.63,476.25,460.66,461.43,504067
2024-07-25,462.93,463.48,442.76,453.56,437019
2024-07-26,464.195,469.65,459.47,465.86,385805
2024-07-29,470.43,473.75,465.03,465.9,324197
2024-07-30,466.23,472.42,456.99,463.37,191428
2024-07-31,471.14,476.44,467.12,474.36,569173
2024-08-01,520.89,527.045,492.275,497.62,1028257
2024-08-02,489.07,500.98,476.24,488.06,744445
2024-08-05,451.4,483.38,450.95,475.97,620938
2024-08-06,479.685,502.45,478.91,494.05,401193
2024-08-07,503.85,510.05,487.29,489.14,433804
2024-08-08,496.66,509.95,495.49,509.12,404970
2024-08-09,507.48,518.275,506.36,517.68,255571
2024-08-12,516.85,518.0,509.21,516.08,195014
2024-08-13,519.66,531.38,519.66,528.5,335270
2024-08-14,528.56,533.53,523.25,526.66,187346
2024-08-15,531.875,539.58,527.0,537.25,483758
2024-08-16,531.27,533.44,525.04,527.5,252021
2024-08-19,526.88,531.55,523.0,529.29,175362
2024-08-20,527.57,531.02,526.03,526.62,148402
2024-08-21,527.775,539.33,526.935,535.1,265773
2024-08-22,536.295,544.22,528.87,532.21,277786
2024-08-23,537.585,539.69,525.25,528.0,290414
2024-08-26,527.34,527.34,515.0,521.17,190300
2024-08-27,518.9,523.91,515.46,519.145,149056
2024-08-28,517.45,521.0,513.25,516.92,161264
2024-08-29,519.05,526.985,516.0,518.48,327783
2024-08-30,522.43,523.225,515.48,521.42,153422
2024-09-03,519.88,525.25,508.805,511.96,236995
2024-09-04,506.2,516.51,504.23,512.57,233438
2024-09-05,512.415,521.47,512.415,516.975,180830
2024-09-06,521.88,524.34,498.33,500.41,402933
2024-09-09,505.625,511.27,502.43,505.05,184304
2024-09-10,508.13,513.575,500.11,504.85,223912
2024-09-11,506.885,513.08,495.8,511.69,347256
2024-09-12,516.365,526.65,515.42,525.46,333099
2024-09-13,520.14,527.49,517.5,524.51,278050
2024-09-16,524.425,533.94,517.53,533.085,215070
2024-09-17,537.96,542.055,530.61,536.35,302451
2024-09-18,537.065,543.72,534.15,538.02,222555
2024-09-19,550.215,562.06,546.685,559.13,333271
2024-09-20,559.67,564.465,556.4,561.37,310872
2024-09-23,569.455,573.84,562.67,564.265,193655
2024-09-24,566.805,567.48,554.52,563.39,233022
2024-09-25,564.135,576.73,563.885,568.29,305753
2024-09-26,575.48,577.29,562.5,567.71,449885
2024-09-27,569.785,570.22,564.655,567.2,219201
2024-09-30,567.24,574.585,565.0,572.59,278326
2024-10-01,579.05,582.905,570.2,576.44,406289
2024-10-02,574.86,575.995,569.635,572.7,199614
2024-10-03,570.245,583.225,569.11,582.75,412959
2024-10-04,584.72,596.77,581.445,596.0,275266
