Date,Open,High,Low,Close,Volume
2021-02-23,230.16,234.79,228.79,233.24,1044193
2021-02-24,229.97,235.2,229.02,234.49,652132
2021-02-25,232.32,234.555,227.9,229.49,992433
2021-02-26,231.585,235.35,229.65,232.5,716307
2021-03-01,235.68,237.44,233.15,237.22,608673
2021-03-02,236.95,237.25,233.53,233.62,575969
2021-03-03,232.085,233.53,227.32,227.59,1135679
2021-03-04,226.82,232.45,224.28,226.59,1267762
2021-03-05,229.36,233.24,226.55,231.62,1125687
2021-03-08,231.215,233.34,227.18,227.47,1118290
2021-03-09,232.82,235.37,231.85,233.5,701622
2021-03-10,236.8,236.96,232.07,232.07,768272
2021-03-11,234.31,239.15,234.31,237.12,758685
2021-03-12,234.24,235.71,233.23,235.705,665316
2021-03-15,234.96,235.045,231.83,234.69,766254
2021-03-16,236.5,240.055,236.07,237.82,839267
2021-03-17,236.15,238.54,233.25,236.98,662225
2021-03-18,232.46,234.1,230.35,230.75,899861
2021-03-19,231.41,232.43,229.4,230.04,697277
2021-03-22,230.64,236.88,230.64,236.0,765712
2021-03-23,237.4,241.035,237.07,237.56,856497
2021-03-24,237.89,237.94,235.34,235.39,703064
2021-03-25,234.98,236.92,231.58,232.26,828970
2021-03-26,231.78,236.665,231.78,236.38,743156
2021-03-29,236.67,236.77,231.89,234.95,643163
2021-03-30,233.58,233.74,231.13,232.18,676012
2021-03-31,232.79,239.08,232.41,235.97,1323898
2021-04-01,238.61,242.62,238.15,242.54,680825
2021-04-05,242.88,249.96,242.76,249.07,1026833
2021-04-06,247.79,249.36,246.91,247.88,529597
2021-04-07,247.87,250.905,247.28,249.975,539579
2021-04-08,252.71,254.13,252.0,253.29,546998
2021-04-09,252.77,255.945,252.52,255.945,503918
2021-04-12,254.87,257.64,254.62,255.65,721013
2021-04-13,257.14,259.145,256.84,258.45,381745
2021-04-14,257.6,258.76,255.21,255.61,621355
2021-04-15,257.91,259.91,257.75,259.36,628657
2021-04-16,259.31,260.915,257.72,260.57,493997
2021-04-19,260.16,261.46,257.86,258.73,569757
2021-04-20,258.09,260.18,256.885,257.955,471874
2021-04-21,258.7,260.63,257.28,260.535,578444
2021-04-22,260.2,261.69,255.65,257.225,641356
2021-04-23,257.88,261.495,257.38,261.12,562048
2021-04-26,261.49,262.4,260.445,261.57,449758
2021-04-27,261.54,263.18,260.12,262.0,1319722
2021-04-28,256.16,256.51,252.975,254.73,1146340
2021-04-29,255.47,256.09,249.0,252.42,1331229
2021-04-30,249.815,253.07,249.7,252.12,627306
2021-05-03,253.4,254.35,251.14,252.0,527135
2021-05-04,250.71,251.07,245.78,247.7,794196
2021-05-05,249.05,249.43,245.84,246.58,373146
2021-05-06,246.44,249.84,244.77,249.61,565240
2021-05-07,252.12,254.26,251.18,252.45,641572
2021-05-10,251.055,251.61,247.23,247.35,437906
2021-05-11,244.39,246.57,242.59,246.27,1159520
2021-05-12,242.26,244.38,238.155,238.97,770663
2021-05-13,241.57,245.53,241.5,243.06,781389
2021-05-14,245.67,249.18,245.61,248.14,399270
2021-05-17,246.54,246.54,243.53,245.16,475591
2021-05-18,246.37,246.4,242.9,242.98,484704
2021-05-19,239.17,243.22,238.735,243.09,480950
2021-05-20,243.95,247.94,243.93,246.22,344971
2021-05-21,247.6,248.3,244.75,245.1,545096
2021-05-24,247.83,251.16,247.57,250.79,671238
2021-05-25,251.68,252.595,250.85,251.64,427626
2021-05-26,251.43,252.78,250.79,251.46,376305
2021-05-27,251.18,251.43,249.335,249.41,413862
2021-05-28,251.08,252.05,249.59,249.64,674095
2021-06-01,251.19,251.215,246.99,247.25,464985
2021-06-02,247.99,249.21,245.85,247.43,428080
2021-06-03,245.32,246.34,243.0,245.76,499042
2021-06-04,247.81,251.625,247.535,250.64,404642
2021-06-07,249.99,254.07,249.88,253.93,593040
2021-06-08,255.29,255.95,252.52,252.63,387216
2021-06-09,253.85,255.52,253.21,253.455,371318
2021-06-10,253.97,257.44,253.77,257.23,529041
2021-06-11,257.89,258.48,256.62,257.85,339173
2021-06-14,257.9,259.86,256.83,259.86,377552
2021-06-15,259.82,259.96,257.71,258.285,269216
2021-06-16,259.335,260.57,254.455,257.46,482282
2021-06-17,256.03,261.73,256.03,260.88,651565
