Date,Open,High,Low,Close,Volume
2024-06-03,415.63,416.38,408.98,413.41,217236
2024-06-04,412.43,416.435,409.73,416.03,180618
2024-06-05,417.93,423.94,416.33,423.91,272697
2024-06-06,423.75,425.26,420.65,424.64,192399
2024-06-07,425.28,426.21,423.18,423.74,171267
2024-06-10,424.35,428.035,424.11,427.865,177123
2024-06-11,425.475,432.72,425.39,432.65,304224
2024-06-12,435.16,443.39,433.26,441.05,322060
2024-06-13,440.805,443.26,439.41,441.52,204863
2024-06-14,438.275,442.96,436.87,442.605,173164
2024-06-17,442.585,450.895,440.74,448.48,420270
2024-06-18,449.705,449.885,445.025,446.5,253068
2024-06-20,446.505,446.51,441.32,445.62,313672
2024-06-21,446.79,450.55,446.51,449.78,458686
2024-06-24,449.935,452.71,446.5,447.705,343384
2024-06-25,448.135,451.32,446.93,451.115,207532
2024-06-26,448.91,453.52,448.32,452.26,263971
2024-06-27,452.075,456.12,451.885,452.56,353701
2024-06-28,453.075,455.245,446.48,446.82,377022
2024-07-01,448.67,457.29,445.74,456.48,323031
2024-07-02,453.125,459.47,453.125,459.45,261240
2024-07-03,458.27,460.98,458.005,460.425,181485
2024-07-05,459.61,468.35,458.98,467.55,234713
2024-07-08,466.56,467.64,464.525,466.0,237534
2024-07-09,466.99,466.99,458.01,459.54,342675
2024-07-10,461.205,466.45,458.855,465.99,425127
2024-07-11,462.85,464.72,451.645,454.855,364884
2024-07-12,454.325,456.29,450.65,452.91,341611
2024-07-15,452.98,457.26,451.55,453.875,231061
2024-07-16,453.85,454.07,446.685,449.235,321869
2024-07-17,442.44,444.79,439.2,443.53,377948
2024-07-18,444.43,444.485,434.46,440.42,354310
2024-07-19,433.25,440.93,432.2,436.96,252994
2024-07-22,441.94,444.52,439.02,442.8,175012
2024-07-23,444.17,448.235,443.365,444.8,109164
2024-07-24,440.225,441.46,427.7,428.97,405749
2024-07-25,428.92,429.785,417.52,418.53,613186
2024-07-26,418.19,428.915,417.34,425.53,373959
2024-07-29,431.99,431.99,424.77,426.71,174027
2024-07-30,427.475,428.87,417.45,422.68,355104
2024-07-31,420.225,421.585,412.25,418.02,1337553
2024-08-01,420.555,427.3,413.205,417.03,489924
2024-08-02,412.375,414.865,404.45,408.52,455440
2024-08-05,389.18,400.82,385.6,395.39,895565
2024-08-06,399.82,405.63,398.96,399.42,415695
2024-08-07,408.635,410.025,397.5,398.59,327772
2024-08-08,402.6,405.66,400.28,403.02,247884
2024-08-09,404.02,407.88,402.4,406.01,183020
2024-08-12,407.415,408.7,404.455,406.95,154876
2024-08-13,409.61,414.88,409.61,413.78,247042
2024-08-14,415.19,417.69,412.565,416.655,231308
2024-08-15,419.61,421.085,417.69,420.87,320490
2024-08-16,420.775,420.945,417.33,418.5,192582
2024-08-19,419.08,421.56,416.48,421.45,211362
2024-08-20,421.88,425.83,421.7,424.87,439801
2024-08-21,424.075,426.385,421.83,424.0,224468
2024-08-22,424.31,426.74,414.65,415.74,412381
2024-08-23,417.02,419.25,412.17,416.58,308771
2024-08-26,416.69,417.19,411.365,413.59,260568
2024-08-27,412.94,414.205,410.32,413.79,288310
2024-08-28,414.575,414.585,407.34,410.58,335012
2024-08-29,414.72,422.01,412.02,413.015,416314
2024-08-30,415.31,417.37,412.185,416.99,365487
2024-09-03,417.995,419.76,407.125,409.67,375433
2024-09-04,405.77,411.23,404.46,408.8,317669
2024-09-05,408.26,413.06,406.18,408.215,301972
2024-09-06,409.74,410.265,400.83,401.93,417065
2024-09-09,407.31,408.62,402.185,405.71,382809
2024-09-10,408.44,416.15,407.705,414.15,333556
2024-09-11,414.85,423.945,409.67,422.73,559974
2024-09-12,423.31,427.225,419.81,427.0,368649
2024-09-13,425.825,431.795,425.57,430.61,395239
2024-09-16,430.59,433.48,428.42,431.46,384409
2024-09-17,439.92,441.805,432.33,435.17,409490
2024-09-18,435.245,435.85,430.45,430.76,305960
2024-09-19,440.84,441.14,437.0,438.68,405641
2024-09-20,437.19,439.2,434.275,435.42,572275
2024-09-23,434.19,436.4,430.41,433.5,222357
2024-09-24,433.25,433.275,426.16,429.18,363942
2024-09-25,429.695,433.05,428.78,432.11,319299
2024-09-26,435.16,435.23,429.205,431.17,373223
2024-09-27,431.52,431.82,427.495,427.83,315861
2024-09-30,428.11,430.31,425.5,430.2,355528
2024-10-01,427.57,428.225,418.83,420.64,355464
2024-10-02,422.6,422.665,416.88,417.18,389957
2024-10-03,417.86,419.4,414.43,416.42,226915
2024-10-04,418.2,419.69,415.09,416.12,350395
2024-10-07,416.2,417.095,409.045,409.47,526094
2024-10-08,410.84,415.61,408.27,414.55,415418
2024-10-09,415.68,420.345,414.32,417.42,480062
2024-10-10,414.54,417.335,413.17,416.0,370805
2024-10-11,416.135,417.11,413.365,416.43,306774
2024-10-14,417.85,424.02,417.79,419.11,328191
2024-10-15,422.08,422.11,415.355,418.88,517515
2024-10-16,415.27,416.33,410.605,416.06,311427
2024-10-17,422.355,422.37,415.615,416.74,299108
2024-10-18,417.36,419.63,416.28,418.09,270978
2024-10-21,416.59,418.96,413.81,418.9,279611
2024-10-22,418.585,430.56,418.115,427.54,553185
2024-10-23,430.89,430.99,422.58,424.56,519160
2024-10-24,425.325,425.93,422.4,424.82,333516
2024-10-25,426.82,432.465,426.7,428.23,422862
2024-10-28,431.635,431.85,426.43,426.64,422646
2024-10-29,427.69,433.17,425.895,432.17,404221
2024-10-30,437.625,438.465,432.21,433.74,883496
2024-10-31,415.3,416.15,406.31,406.37,1403072
2024-11-01,408.8,415.46,407.82,410.355,652435
2024-11-04,409.7,410.415,405.74,408.66,449581
2024-11-05,408.55,414.9,408.54,411.41,444486
2024-11-06,412.42,420.44,410.69,420.15,742271
2024-11-07,420.48,426.79,419.94,425.45,631498
