Date,Open,High,Low,Close,Volume
2024-06-03,64.56,64.56,62.75,63.4,747530
2024-06-04,63.34,63.51,62.72,63.13,1049690
2024-06-05,63.27,65.12,62.84,65.01,725990
2024-06-06,64.67,65.77,64.52,64.85,609790
2024-06-07,64.78,64.95,64.05,64.16,351050
2024-06-10,64.09,64.46,63.59,64.46,550110
2024-06-11,64.24,65.02,64.1,64.82,757700
2024-06-12,65.3,65.57,64.39,64.98,510740
2024-06-13,64.44,65.5,64.36,65.37,425110
2024-06-14,65.34,67.54,65.33,66.97,880580
2024-06-17,66.95,68.27,66.55,67.55,850330
2024-06-18,67.61,68.71,67.48,68.56,476590
2024-06-20,68.49,68.88,67.45,67.9,471420
2024-06-21,68.33,68.69,67.86,68.66,746360
2024-06-24,68.32,68.36,66.47,66.91,551120
2024-06-25,67.25,67.25,66.31,67.21,509220
2024-06-26,67.11,68.26,67.05,67.75,462130
2024-06-27,67.89,68.81,67.82,68.39,370520
2024-06-28,67.95,68.64,67.35,67.45,540170
2024-07-01,67.45,67.45,66.41,67.35,375790
2024-07-02,67.44,68.15,67.07,67.92,523690
2024-07-03,67.73,68.36,67.64,68.21,447370
2024-07-05,68.03,69.74,68.03,69.04,470810
2024-07-08,68.69,68.89,68.17,68.59,457270
2024-07-09,68.84,69.5,68.51,68.57,652110
2024-07-10,68.72,68.72,67.36,67.8,595190
2024-07-11,67.25,67.25,64.76,65.24,1428980
2024-07-12,65.25,65.58,64.39,64.75,929390
2024-07-15,64.72,66.72,64.72,65.67,894870
2024-07-16,66.14,66.27,64.95,65.64,932770
2024-07-17,65.01,65.01,64.04,64.8,998630
2024-07-18,65.57,65.6,63.93,64.3,1388100
2024-07-19,66.06,67.84,62.93,63.37,2210580
2024-07-22,63.8,65.61,63.43,64.76,1134740
2024-07-23,64.71,64.94,64.13,64.26,660430
2024-07-24,63.53,65.18,63.3,63.64,1166100
2024-07-25,63.9,64.97,62.2,63.4,933200
2024-07-26,64.45,64.63,63.0,63.14,607480
2024-07-29,63.4,63.44,62.43,62.68,549100
2024-07-30,62.88,63.43,61.76,62.26,805740
2024-07-31,62.77,63.33,62.29,62.8,1335880
2024-08-01,63.19,64.59,61.78,62.5,1074300
2024-08-02,62.04,62.42,60.88,61.38,1089300
2024-08-05,59.01,60.42,58.9,59.86,1535610
2024-08-06,60.16,62.21,60.16,60.93,1773220
2024-08-07,61.72,63.19,61.07,61.15,1236720
2024-08-08,62.33,63.21,61.62,63.03,1359090
2024-08-09,62.33,63.64,62.33,63.41,531370
2024-08-12,63.2,63.9,62.71,63.34,909550
2024-08-13,63.9,65.06,63.6,64.81,1212990
2024-08-14,65.61,66.32,65.39,66.15,971280
2024-08-15,67.01,67.29,66.0,66.3,869510
2024-08-16,66.74,68.01,66.65,67.41,779580
2024-08-19,67.36,68.85,67.36,68.85,586150
2024-08-20,68.84,71.1,68.84,69.86,1272610
2024-08-21,69.75,70.05,69.14,69.7,506870
2024-08-22,69.05,70.05,68.66,68.84,741260
2024-08-23,69.33,69.58,67.93,68.64,618820
2024-08-26,68.61,69.03,68.19,68.88,386400
2024-08-27,68.94,70.74,68.83,69.56,840170
2024-08-28,69.54,69.54,67.74,68.37,895180
2024-08-29,69.07,69.94,68.71,69.28,986450
2024-08-30,69.94,70.15,68.85,70.1,578720
2024-09-03,70.11,70.3,67.11,67.57,784900
2024-09-04,67.45,68.45,67.36,67.95,483660
2024-09-05,67.53,68.7,67.21,68.39,527120
2024-09-06,68.29,68.29,66.27,66.59,883600
2024-09-09,67.4,68.21,67.22,67.56,692890
2024-09-10,67.79,68.02,66.62,67.36,622640
2024-09-11,67.61,68.29,66.16,68.16,828350
2024-09-12,68.43,69.27,68.24,68.67,1091130
2024-09-13,68.35,69.94,68.14,69.72,572180
2024-09-16,69.73,70.14,68.95,69.64,655780
2024-09-17,70.15,70.72,69.87,70.71,751620
2024-09-18,70.65,70.65,68.82,69.04,1329330
2024-09-19,70.25,71.55,69.66,70.39,1205360
2024-09-20,70.55,70.61,69.67,70.1,621110
2024-09-23,70.08,71.08,70.05,70.53,638600
2024-09-24,70.79,72.24,70.48,72.24,1024210
2024-09-25,72.11,72.5,71.66,72.14,563780
2024-09-26,72.02,72.1,70.21,71.12,1145750
2024-09-27,70.84,71.06,70.14,70.69,890850
2024-09-30,70.7,71.0,70.33,70.93,453470
2024-10-01,71.35,71.74,69.88,70.64,763980
2024-10-02,70.8,71.61,70.58,71.11,560180
2024-10-03,70.44,70.79,70.09,70.66,911620
2024-10-04,71.44,72.1,70.91,71.93,1024830
2024-10-07,71.52,71.52,69.71,70.17,967160
2024-10-08,70.43,72.5,70.41,72.18,1061660
2024-10-09,71.96,72.84,71.9,72.76,707430
2024-10-10,72.49,73.35,72.42,73.03,987840
