Date,Open,High,Low,Close,Volume
2021-03-03,13.44,13.44,12.8,12.8,13596880
2021-03-04,12.8,12.96,12.1,12.34,18191040
2021-03-05,12.54,12.54,11.68,12.46,24227600
2021-03-08,12.46,12.46,11.57,11.58,23804720
2021-03-09,12.1,12.62,12.06,12.52,19202720
2021-03-10,12.83,12.98,12.46,12.47,10420920
2021-03-11,12.96,13.04,12.74,12.99,12309080
2021-03-12,12.61,12.89,12.59,12.85,9388560
2021-03-15,12.87,13.2,12.78,13.2,9507640
2021-03-16,13.4,13.51,13.12,13.29,12312320
2021-03-17,13.09,13.45,13.01,13.35,10846880
2021-03-18,13.13,13.17,12.72,12.72,11732880
2021-03-19,12.78,12.92,12.62,12.86,8456600
2021-03-22,12.95,13.39,12.92,13.19,8303520
2021-03-23,13.25,13.34,13.03,13.08,8936720
2021-03-24,13.14,13.14,12.64,12.64,9357480
2021-03-25,12.5,12.7,12.28,12.54,10240120
2021-03-26,12.57,12.85,12.38,12.85,12523720
2021-03-29,12.82,13.06,12.7,12.95,7892720
2021-03-30,12.82,12.97,12.72,12.87,5763840
2021-03-31,13.02,13.47,13.0,13.35,9739760
2021-04-01,13.57,13.87,13.52,13.82,10107800
2021-04-05,13.86,14.01,13.73,13.99,7839440
2021-04-06,13.98,14.05,13.78,13.86,6915240
2021-04-07,13.85,14.24,13.72,14.14,7861800
2021-04-08,14.27,14.46,14.25,14.31,10891400
2021-04-09,14.24,14.4,14.19,14.4,6540040
2021-04-12,14.3,15.35,14.14,15.21,28467920
2021-04-13,15.25,15.7,15.13,15.67,14184480
2021-04-14,15.61,15.72,15.23,15.28,11887600
2021-04-15,15.66,16.21,15.64,16.14,15289880
2021-04-16,16.06,16.16,15.87,15.91,8684520
2021-04-19,15.56,15.81,15.24,15.36,13208880
2021-04-20,15.31,15.49,14.97,15.17,11023200
2021-04-21,15.1,15.36,15.1,15.36,7762560
2021-04-22,15.4,15.43,14.79,14.85,10114640
2021-04-23,14.91,15.33,14.91,15.26,8171560
2021-04-26,15.17,15.48,15.13,15.47,6126480
2021-04-27,15.6,15.66,15.36,15.38,5848440
2021-04-28,15.34,15.53,15.24,15.27,6174120
2021-04-29,15.39,15.42,15.08,15.32,8071480
2021-04-30,15.16,15.36,15.0,15.0,7054960
2021-05-03,15.13,15.24,14.79,14.84,8256480
2021-05-04,14.64,14.64,14.02,14.36,18857680
2021-05-05,14.71,14.81,14.4,14.45,8596760
2021-05-06,14.49,14.56,14.22,14.52,6664440
2021-05-07,14.82,14.97,14.69,14.81,8355200
2021-05-10,14.79,14.81,14.25,14.26,12111800
2021-05-11,13.78,14.35,13.75,14.32,12654440
2021-05-12,14.01,14.26,13.71,13.76,9923160
2021-05-13,14.02,14.07,13.46,13.66,9387240
2021-05-14,13.89,14.33,13.76,14.24,8216160
2021-05-17,14.16,14.17,13.86,14.16,8409560
2021-05-18,14.27,14.4,14.01,14.01,6014800
2021-05-19,13.57,14.07,13.56,14.07,12032920
2021-05-20,14.3,14.68,14.27,14.61,11588280
2021-05-21,15.17,15.21,14.87,15.0,15924600
2021-05-24,15.24,15.74,15.21,15.6,12603000
2021-05-25,15.77,15.82,15.48,15.65,13252840
2021-05-26,15.74,15.79,15.59,15.71,10736000
2021-05-27,15.69,15.75,15.47,15.49,16388400
2021-05-28,15.54,16.27,15.54,16.25,16118000
2021-06-01,16.27,16.39,15.91,16.25,14703080
2021-06-02,16.27,16.92,16.25,16.79,15580720
2021-06-03,16.68,17.25,16.6,16.96,15221000
2021-06-04,17.13,17.66,17.1,17.58,13339720
2021-06-07,17.58,17.81,17.2,17.62,13778640
2021-06-08,17.53,17.61,17.25,17.46,9734960
2021-06-09,17.53,17.57,17.26,17.35,10878520
2021-06-10,17.35,17.49,17.18,17.42,10944920
2021-06-11,17.47,17.94,17.45,17.83,9968520
2021-06-14,17.9,18.04,17.66,18.0,10193680
2021-06-15,17.92,18.01,17.73,17.77,7461160
2021-06-16,17.79,17.95,17.59,17.79,8862520
2021-06-17,17.78,18.83,17.77,18.66,19543080
2021-06-18,18.79,19.37,18.61,18.61,18925680
2021-06-21,18.43,18.53,17.82,18.43,24222760
2021-06-22,18.46,18.96,18.4,18.89,13759880
2021-06-23,18.99,19.15,18.91,19.05,7639840
2021-06-24,19.24,19.42,19.1,19.21,7957480
2021-06-25,19.29,19.34,18.9,19.03,6093840
2021-06-28,19.36,20.07,19.32,19.99,9975960
2021-06-29,19.92,20.09,19.66,20.02,8814520
2021-06-30,19.99,20.16,19.87,20.01,8688000
2021-07-01,20.16,20.45,20.02,20.2,10637520
2021-07-02,20.44,20.5,20.29,20.49,7106840
2021-07-06,20.74,20.84,20.35,20.7,9844200
2021-07-07,20.86,20.86,20.34,20.37,8399120
2021-07-08,19.84,20.13,19.71,19.9,13992680
2021-07-09,19.95,20.08,19.76,20.05,6992400
2021-07-12,20.3,20.53,20.19,20.52,6528440
2021-07-13,20.4,20.45,20.12,20.25,7040640
