Date,Open,High,Low,Close,Volume
2024-06-03,113.72,115.0,112.03,115.0,2771410
2024-06-04,115.7,116.56,114.09,116.43,3287570
2024-06-05,118.32,122.45,117.55,122.45,4787700
2024-06-06,124.02,125.54,118.36,121.09,6527730
2024-06-07,119.77,121.62,118.08,120.84,2644920
2024-06-10,120.34,123.06,117.02,121.93,2293876
2024-06-11,121.78,122.775,118.765,120.92,1498478
2024-06-12,123.02,126.84,122.6,125.28,1840054
2024-06-13,129.39,129.8,127.17,129.37,1724570
2024-06-14,129.9,132.825,128.32,131.97,1322940
2024-06-17,132.87,133.71,129.61,131.1,2322133
2024-06-18,131.16,136.31,130.77,135.63,2294554
2024-06-20,139.75,140.715,129.57,130.78,5074898
2024-06-21,127.01,130.62,124.315,126.855,5063212
2024-06-24,123.125,124.46,118.05,118.08,3236896
2024-06-25,121.2,126.495,119.4,126.1,2946792
2024-06-26,126.18,128.12,122.61,126.39,1732149
2024-06-27,124.09,126.4,122.945,123.99,1449437
2024-06-28,124.59,127.7,122.77,123.43,2026434
2024-07-01,123.47,124.83,118.85,124.19,1695833
2024-07-02,121.13,123.41,121.06,122.645,1371543
2024-07-03,121.66,128.26,121.36,128.24,2150798
2024-07-05,127.5,128.85,125.705,125.85,1341996
2024-07-08,127.51,130.77,127.09,128.2,1616686
2024-07-09,130.405,133.82,128.69,131.4,1589335
2024-07-10,134.03,135.09,132.49,134.83,1339920
2024-07-11,135.835,136.06,127.065,127.44,2348569
2024-07-12,128.25,131.9,127.22,129.5,1500415
2024-07-15,130.85,131.355,127.2,128.42,1101682
2024-07-16,128.41,129.01,124.585,126.35,1435422
2024-07-17,121.35,121.85,116.73,117.97,2836649
2024-07-18,121.83,122.35,116.57,121.13,1585456
2024-07-19,120.35,121.54,117.39,118.01,1015301
2024-07-22,120.37,124.06,119.88,123.5,1521317
2024-07-23,122.85,124.685,122.11,122.62,992371
2024-07-24,119.03,119.89,113.56,114.37,2148321
2024-07-25,113.07,116.62,106.31,112.34,4118118
2024-07-26,116.15,116.17,111.59,113.08,2039135
2024-07-29,113.64,116.25,111.3,111.63,1716712
2024-07-30,111.53,111.945,102.59,103.6,3760067
2024-07-31,112.915,118.33,110.9,117.06,3360787
2024-08-01,117.53,120.14,106.82,109.37,6161952
2024-08-02,103.85,108.7,101.41,107.34,3149437
2024-08-05,92.09,103.39,90.735,100.64,6339472
2024-08-06,103.845,107.65,100.57,104.0,3547880
2024-08-07,107.84,108.72,98.7,98.85,3998714
2024-08-08,102.0,105.5,97.53,104.97,3082788
2024-08-09,105.61,106.58,103.5,104.72,1478851
2024-08-12,106.33,111.04,106.28,109.06,2276801
2024-08-13,112.43,116.22,111.58,116.12,1826356
2024-08-14,118.51,118.59,114.09,117.97,2530749
2024-08-15,118.945,123.23,117.5,122.9,2329110
2024-08-16,121.92,125.0,121.18,124.55,1968614
2024-08-19,124.3,130.0,123.44,130.0,2133443
2024-08-20,128.4,129.86,125.89,127.26,2296913
2024-08-21,127.33,129.34,126.66,128.4,2040350
2024-08-22,130.04,130.74,123.1,123.84,2853378
2024-08-23,125.86,129.59,125.245,129.28,2104926
2024-08-26,129.56,131.25,124.4,126.45,2670055
2024-08-27,125.06,129.19,123.905,128.27,2696916
2024-08-28,128.08,128.3,122.66,125.57,3785691
2024-08-29,121.0,124.4,116.76,117.6,4192572
2024-08-30,119.52,121.74,117.23,119.46,2693047
2024-09-03,116.04,116.205,107.295,108.01,3292811
2024-09-04,105.38,109.99,104.12,106.16,5285953
2024-09-05,104.995,109.64,104.805,107.17,2732510
2024-09-06,108.095,108.105,100.96,102.87,4585344
2024-09-09,104.93,106.54,103.71,106.51,2537551
2024-09-10,107.92,109.385,104.96,108.0,2399601
2024-09-11,109.39,117.16,107.43,116.84,4687625
2024-09-12,116.86,120.79,115.4,119.22,3550116
2024-09-13,118.96,119.93,117.61,119.08,2252263
2024-09-16,116.79,118.175,114.37,116.74,2027423
2024-09-17,118.19,118.795,114.85,115.59,2491009
2024-09-18,115.91,117.7,113.24,113.29,2965736
2024-09-19,117.29,119.66,117.26,117.9,3147187
2024-09-20,117.02,118.6,115.41,116.04,3739522
2024-09-23,116.47,116.98,114.87,116.23,1939328
2024-09-24,116.42,121.8,115.385,120.83,3567423
2024-09-25,122.02,124.93,121.61,123.49,3117195
2024-09-26,126.76,127.66,121.8,124.0,2475022
2024-09-27,123.93,123.985,119.26,121.35,3743504
2024-09-30,118.31,121.5,118.15,121.5,2330437
2024-10-01,121.765,122.38,115.79,116.89,3213379
2024-10-02,116.41,119.38,115.15,118.83,1977137
2024-10-03,120.92,124.36,120.35,122.82,2992060
2024-10-04,124.93,125.0,121.91,124.89,2877588
2024-10-07,125.03,130.62,125.02,127.775,5406297
2024-10-08,130.32,133.48,129.43,132.94,4435837
2024-10-09,134.135,134.52,131.39,132.61,3131226
2024-10-10,131.9,135.0,131.32,134.81,2911690
2024-10-11,134.03,135.77,133.67,134.77,1839529
2024-10-14,136.47,139.6,136.32,138.18,3134138
2024-10-15,137.81,138.565,128.76,131.77,4726217
2024-10-16,133.955,136.62,131.585,135.72,4444476
2024-10-17,139.35,140.88,136.875,136.92,3748774
2024-10-18,138.79,138.82,137.28,137.98,2037775
2024-10-21,138.14,143.68,138.03,143.68,3175273
2024-10-22,142.92,144.41,141.81,143.57,2694622
2024-10-23,142.02,142.41,137.485,139.56,2908927
2024-10-24,140.86,141.35,138.47,140.4,1669064
2024-10-25,140.91,144.125,140.85,141.5,1803783
2024-10-28,143.05,143.13,140.055,140.57,1877353
2024-10-29,140.285,142.25,138.915,141.3,1945298
2024-10-30,139.54,140.31,136.81,139.34,2472975
2024-10-31,137.575,137.575,132.12,132.81,2875649
2024-11-01,134.69,137.3,134.6,135.4,2662071
2024-11-04,137.23,138.96,135.59,136.15,1893718
2024-11-05,137.43,140.37,137.375,139.93,1348050
2024-11-06,142.955,146.49,141.975,145.5,2916302
2024-11-07,146.39,148.92,146.17,148.89,2232131
2024-11-08,148.78,149.75,146.27,147.69,1848270
2024-11-11,148.68,148.72,143.59,145.285,2539065
2024-11-12,146.77,149.61,146.03,148.4,2390287
2024-11-13,149.055,149.33,145.91,146.45,2210450
2024-11-14,147.61,149.0,145.6,146.83,2266375
2024-11-15,144.89,145.18,140.1,141.91,3889458
2024-11-18,139.495,141.515,137.18,140.13,2989170
2024-11-19,141.28,147.12,141.0,147.0,2817554
2024-11-20,147.355,147.41,142.73,145.89,3194590
2024-11-21,149.27,152.87,140.7,146.65,5299846
2024-11-22,145.895,147.16,141.1,141.91,3293741
2024-11-25,141.95,142.035,135.83,135.98,3667362
2024-11-26,137.68,139.295,135.68,136.885,2648547
2024-11-27,135.01,135.385,131.8,135.37,2853118
2024-11-29,136.735,139.34,136.05,138.28,1920338
2024-12-02,138.84,140.435,137.83,138.54,2200598
2024-12-03,138.25,140.54,137.95,140.22,1667300
2024-12-04,142.075,145.78,140.29,145.13,3236981
2024-12-05,145.09,146.525,143.96,145.11,1977392
2024-12-06,144.63,145.68,141.32,142.47,2423881
2024-12-09,138.985,139.94,137.16,138.81,2458680
2024-12-10,138.97,141.76,133.8,134.99,2010308
2024-12-11,137.35,140.16,135.22,139.28,1619726
2024-12-12,137.09,138.385,135.8,137.395,1559352
