Date,Open,High,Low,Close,Volume
2024-06-03,21.775,21.775,21.015,21.32,603959
2024-06-04,21.12,22.255,21.12,22.1,449718
2024-06-05,22.45,22.98,22.225,22.95,413531
2024-06-06,23.01,23.945,23.0,23.785,771992
2024-06-07,23.205,23.565,23.06,23.32,465214
2024-06-10,22.74,23.16,22.7,23.13,364209
2024-06-11,23.125,23.95,22.9,23.86,454131
2024-06-12,24.22,24.325,23.585,23.775,366585
2024-06-13,23.84,24.12,23.15,23.27,401187
2024-06-14,23.18,23.715,22.855,23.575,391618
2024-06-17,23.505,25.055,23.47,25.015,1193046
2024-06-18,25.185,26.02,24.85,25.84,784216
2024-06-20,26.42,26.565,25.17,25.57,964386
2024-06-21,24.66,24.755,23.535,23.825,781155
2024-06-24,23.385,24.38,23.31,24.165,381444
2024-06-25,24.195,24.63,23.95,24.56,306275
2024-06-26,24.51,24.655,24.03,24.09,411682
2024-06-27,24.13,25.4,24.1,25.23,495739
2024-06-28,25.31,25.56,25.035,25.33,385894
2024-07-01,25.53,26.015,25.15,25.88,281055
2024-07-02,25.79,26.42,25.79,25.825,285065
2024-07-03,25.995,26.25,25.77,25.85,134749
2024-07-05,26.05,27.24,26.05,27.22,445015
2024-07-08,27.895,27.985,26.85,27.71,768020
2024-07-09,27.895,28.35,27.24,27.395,388943
2024-07-10,27.5,28.47,27.4,28.41,447520
2024-07-11,28.48,28.57,26.9,27.64,721991
2024-07-12,27.375,28.115,27.305,28.065,305000
2024-07-15,28.425,29.3,27.91,28.665,411779
2024-07-16,28.125,28.84,27.47,28.675,699218
2024-07-17,27.935,28.855,27.6,28.23,690278
2024-07-18,28.5,29.825,28.18,28.61,705358
2024-07-19,28.325,29.6,28.3,28.57,469359
2024-07-22,28.915,28.93,27.705,28.45,343480
2024-07-23,28.49,29.185,28.46,28.795,280996
2024-07-24,28.47,28.675,26.585,26.585,534622
2024-07-25,25.92,27.25,25.43,26.635,471070
2024-07-26,27.1,27.33,26.77,27.175,283318
2024-07-29,27.585,27.79,26.74,27.09,212288
2024-07-30,27.245,27.44,25.89,26.38,501164
2024-07-31,27.165,27.38,26.88,26.88,231347
2024-08-01,27.015,27.535,25.84,26.07,442646
2024-08-02,24.67,24.825,23.75,24.73,1222535
2024-08-05,21.85,24.405,21.26,24.1,1222763
2024-08-06,27.025,27.42,25.575,26.6,1868738
2024-08-07,26.99,28.36,26.245,26.35,1028181
2024-08-08,27.05,29.375,26.69,29.28,1200110
2024-08-09,29.25,30.36,29.11,30.02,1088466
2024-08-12,30.235,31.19,29.27,29.36,880568
2024-08-13,29.67,30.83,29.56,30.38,501843
2024-08-14,30.595,31.37,30.33,30.99,615381
2024-08-15,31.305,31.49,30.84,31.22,609818
2024-08-16,31.13,32.745,31.03,32.06,787850
2024-08-19,32.31,32.585,31.82,32.48,519191
2024-08-20,32.49,32.7,31.63,32.285,550740
2024-08-21,32.31,32.67,31.97,32.54,575335
2024-08-22,32.525,33.12,31.85,31.93,574530
2024-08-23,31.99,32.55,31.63,31.76,400301
2024-08-26,31.42,31.72,30.8,30.85,487067
2024-08-27,30.5,31.12,30.395,30.84,355784
2024-08-28,30.65,30.8,29.76,30.35,600671
2024-08-29,30.69,31.815,30.525,30.99,644346
2024-08-30,31.06,31.49,30.7,31.48,603669
2024-09-03,31.36,31.58,30.17,30.505,512127
2024-09-04,30.04,30.85,29.315,30.58,456547
2024-09-05,30.335,30.73,30.03,30.16,446143
2024-09-06,30.64,31.035,29.52,30.34,888619
2024-09-09,32.715,34.685,32.48,34.59,3708774
