Date,Open,High,Low,Close,Volume
2021-03-03,317.09,318.21,309.11,309.19,981248
2021-03-04,308.82,312.03,300.13,303.83,1699100
2021-03-05,307.03,309.57,297.67,308.78,1069452
2021-03-08,308.095,310.04,299.64,299.73,696738
2021-03-09,307.58,313.7,307.05,311.56,651248
2021-03-10,316.11,316.4,310.295,310.8,610806
2021-03-11,315.995,319.83,314.86,318.165,450186
2021-03-12,313.76,315.6,311.41,315.34,375824
2021-03-15,315.67,318.995,314.2,318.79,335667
2021-03-16,321.19,324.195,319.14,320.65,536693
2021-03-17,317.48,323.85,315.68,321.77,1040437
2021-03-18,316.88,317.77,311.59,311.9,975454
2021-03-19,311.74,314.73,309.76,313.71,710387
2021-03-22,315.27,320.73,315.25,318.67,488504
2021-03-23,319.56,321.085,316.41,317.025,532868
2021-03-24,318.54,318.59,311.78,311.78,386448
2021-03-25,310.0,312.87,307.455,311.22,892146
2021-03-26,311.01,316.3,309.72,316.2,388826
2021-03-29,315.53,316.92,312.595,315.48,414478
2021-03-30,313.87,314.89,311.58,314.0,303740
2021-03-31,316.18,320.71,315.83,318.99,467794
2021-04-01,322.94,324.665,322.85,324.63,533051
2021-04-05,327.31,331.83,326.985,331.18,268427
2021-04-06,330.54,332.82,330.025,330.83,220748
2021-04-07,330.29,332.47,329.4,331.63,419985
2021-04-08,334.64,335.215,333.76,335.18,245541
2021-04-09,333.68,337.28,333.06,337.04,327493
2021-04-12,336.02,337.04,334.8,336.63,200587
2021-04-13,338.265,341.04,338.06,340.58,189774
2021-04-14,340.88,340.88,335.69,336.32,351514
2021-04-15,339.58,342.005,339.39,341.59,209122
2021-04-16,342.05,342.19,340.12,341.94,194852
2021-04-19,340.28,341.54,336.99,338.72,201066
2021-04-20,338.25,339.475,334.41,336.29,282004
2021-04-21,335.05,339.45,334.07,339.315,206762
2021-04-22,338.73,339.85,334.1,335.24,314768
2021-04-23,335.97,340.76,335.87,339.41,325501
2021-04-26,339.87,341.91,338.91,341.605,177579
2021-04-27,341.96,342.135,339.25,339.96,211334
2021-04-28,339.8,340.76,338.42,338.7,290363
2021-04-29,342.53,342.78,336.97,340.15,238183
2021-04-30,337.66,340.24,337.085,337.84,194157
2021-05-03,339.22,339.96,335.765,336.035,168764
2021-05-04,333.62,333.87,326.26,330.06,557734
2021-05-05,332.25,333.01,328.34,328.93,230878
2021-05-06,328.76,331.63,326.5,331.4,308008
2021-05-07,334.43,336.6,333.08,334.13,437547
2021-05-10,332.91,332.91,325.57,325.6,471805
2021-05-11,319.37,326.065,319.045,325.41,724255
2021-05-12,320.05,322.55,316.035,316.91,724643
2021-05-13,319.91,322.37,316.94,319.36,510424
2021-05-14,322.71,327.3,322.11,326.38,413887
2021-05-17,324.73,325.26,321.495,324.405,248815
2021-05-18,325.44,326.6,321.95,321.95,385513
2021-05-19,316.67,322.88,316.315,322.69,428467
2021-05-20,324.15,329.695,323.91,328.88,395880
2021-05-21,330.62,330.84,326.655,326.94,451155
2021-05-24,329.13,333.63,329.07,332.53,344871
2021-05-25,334.1,334.79,331.79,332.99,176602
2021-05-26,333.7,334.56,333.0,334.08,206534
2021-05-27,333.74,334.52,332.7,333.115,195717
2021-05-28,334.22,335.55,333.615,333.65,307986
2021-06-01,335.35,335.75,331.44,332.78,185865
2021-06-02,333.18,334.33,331.73,333.42,211879
2021-06-03,330.56,331.79,328.34,329.905,209600
2021-06-04,332.09,336.045,331.81,335.68,278759
2021-06-07,335.05,336.66,334.39,336.55,292961
2021-06-08,338.39,339.235,335.03,336.79,174829
2021-06-09,338.23,338.92,336.675,336.72,178856
2021-06-10,337.1,340.44,336.765,340.32,219525
2021-06-11,340.4,341.235,339.72,341.235,116515
2021-06-14,341.61,344.375,340.58,344.375,230272
2021-06-15,344.19,344.44,341.55,341.87,270069
2021-06-16,342.76,343.82,337.46,340.82,342437
2021-06-17,339.96,346.32,339.96,345.345,536372
2021-06-18,343.75,344.74,341.885,342.46,368736
2021-06-21,342.47,344.68,340.16,344.36,197165
2021-06-22,344.34,348.02,343.9,347.54,190355
2021-06-23,347.71,348.86,346.89,347.63,160038
2021-06-24,349.74,351.46,349.28,349.83,179192
2021-06-25,350.58,350.62,348.89,349.435,196046
2021-06-28,350.81,353.825,350.78,353.65,249041
2021-06-29,353.53,355.0,352.73,354.925,174578
2021-06-30,354.68,355.15,353.88,354.47,202883
2021-07-01,354.06,355.06,352.71,354.67,153980
2021-07-02,356.56,358.95,356.29,358.63,247064
2021-07-06,359.33,360.41,356.5,360.165,183256
2021-07-07,362.57,362.73,358.985,360.86,210428
2021-07-08,355.185,359.61,354.49,358.41,178941
2021-07-09,358.24,361.49,357.71,361.04,208717
2021-07-12,362.475,362.86,360.87,362.31,144548
2021-07-13,361.99,365.44,361.56,362.305,276591
2021-07-14,364.82,365.34,362.27,362.83,224966
2021-07-15,362.96,363.11,358.5,360.44,394406
2021-07-16,361.49,362.38,357.25,357.52,453112
2021-07-19,353.95,355.15,352.08,354.57,631753
2021-07-20,355.69,360.27,353.945,358.85,362672
2021-07-21,358.39,361.48,358.2,361.45,281188
2021-07-22,361.82,363.94,361.81,363.94,220902
2021-07-23,365.44,368.47,364.08,368.12,187417
2021-07-26,367.47,368.86,366.61,368.44,219046
2021-07-27,368.14,368.17,360.19,364.39,634929
2021-07-28,365.59,367.14,363.33,365.825,245148
2021-07-29,365.41,367.65,365.38,366.575,131178
2021-07-30,362.47,365.13,362.42,364.49,224874
2021-08-02,366.34,366.78,364.01,364.515,165600
2021-08-03,365.38,366.9,362.03,366.88,216792
2021-08-04,366.77,368.32,365.69,367.38,164106
2021-08-05,368.205,369.87,367.53,369.81,171904
2021-08-06,368.45,369.36,367.01,368.02,184270
2021-08-09,368.66,369.255,367.43,368.765,153745
2021-08-10,369.29,369.53,365.64,366.83,314746
2021-08-11,368.07,368.56,364.85,366.15,243526
2021-08-12,365.69,367.87,364.35,367.655,254937
2021-08-13,367.95,369.15,367.4,368.82,169632
2021-08-16,367.69,369.0,363.85,368.995,188933
2021-08-17,366.17,367.13,363.33,365.69,356485
2021-08-18,365.0,366.56,361.89,362.25,238228
2021-08-19,360.01,365.66,359.97,363.74,251371
2021-08-20,365.14,368.135,364.87,367.76,208744
2021-08-23,368.79,373.87,368.79,373.24,221774
2021-08-24,373.93,374.98,373.39,374.375,189079
2021-08-25,374.61,375.33,373.86,374.625,117265
2021-08-26,374.03,374.47,372.02,372.41,124753
2021-08-27,372.97,376.515,372.59,376.1,230749
2021-08-30,376.89,380.74,376.85,380.305,168881
2021-08-31,380.5,380.5,378.51,379.82,162554
2021-09-01,381.05,382.68,380.375,380.59,158730
2021-09-02,382.21,382.28,379.165,380.45,289499
2021-09-03,379.76,381.9,379.36,381.62,177794
2021-09-07,381.66,382.755,380.545,382.15,332880
2021-09-08,381.755,381.78,378.475,380.775,344510
2021-09-09,380.96,382.105,379.235,379.32,236144
2021-09-10,381.3,381.96,376.26,376.55,634005
2021-09-13,379.06,379.43,374.24,376.31,564310
2021-09-14,377.87,378.6,374.3,375.12,371789
2021-09-15,375.75,378.35,373.4,378.045,323699
2021-09-16,376.88,378.895,374.72,378.35,385398
2021-09-17,377.53,377.53,372.76,373.875,650606
2021-09-20,367.29,369.18,360.97,365.79,675231
2021-09-21,367.58,368.76,364.99,366.035,384407
2021-09-22,367.25,370.95,366.05,369.615,354206
2021-09-23,370.775,374.025,370.18,372.9,389321
2021-09-24,370.61,373.73,370.28,373.41,470247
2021-09-27,370.2,371.25,367.78,370.4,451347
2021-09-28,365.64,366.29,359.38,359.895,1112656
2021-09-29,361.09,363.36,358.67,359.285,674638
2021-09-30,360.955,362.635,357.93,358.06,419239
2021-10-01,358.52,361.25,354.38,359.9,681206
2021-10-04,358.47,358.775,350.37,352.675,763512
2021-10-05,353.74,359.69,353.5,357.245,623429
2021-10-06,354.09,359.94,353.16,359.86,718713
2021-10-07,362.84,365.68,362.3,362.82,595926
2021-10-08,364.07,364.23,360.61,360.96,638046
2021-10-11,359.6,363.135,358.465,358.475,348826
2021-10-12,359.81,360.28,356.52,357.1,469333
2021-10-13,359.52,360.6,357.47,359.95,435097
2021-10-14,363.68,366.835,363.035,366.58,582504
2021-10-15,368.06,369.055,366.96,368.91,383363
2021-10-18,367.64,372.845,367.1,372.795,388210
2021-10-19,373.85,375.52,373.09,375.4,266968
2021-10-20,375.935,376.52,373.485,374.85,299217
2021-10-21,374.24,377.46,373.89,377.2,263689
2021-10-22,375.925,376.91,372.4,373.945,332991
2021-10-25,375.63,378.86,373.595,377.97,435003
2021-10-26,380.24,382.69,377.92,378.85,509398
2021-10-27,379.56,383.12,379.385,380.005,454892
2021-10-28,381.99,384.46,381.27,384.46,652400
2021-10-29,380.92,386.255,380.8,386.01,527134
2021-11-01,386.55,387.54,384.58,387.485,361879
2021-11-02,386.77,389.53,386.76,389.175,188221
2021-11-03,389.62,393.59,388.54,393.22,280303
2021-11-04,394.45,399.19,393.94,398.24,519314
2021-11-05,400.13,400.95,397.18,398.41,343223
2021-11-08,398.69,399.57,397.405,398.07,217509
2021-11-09,399.23,399.465,393.945,395.21,192122
2021-11-10,392.35,395.35,387.64,389.55,543640
2021-11-11,392.66,392.66,390.28,390.64,420539
2021-11-12,391.72,395.23,390.27,394.74,375518
2021-11-15,395.82,396.21,392.11,394.61,310005
2021-11-16,393.93,397.9,393.77,397.455,285291
2021-11-17,397.8,399.69,396.67,397.67,270434
2021-11-18,399.79,402.24,397.52,401.775,322884
2021-11-19,403.43,405.27,402.62,403.95,378928
2021-11-22,405.68,408.64,399.2,399.3,748432
2021-11-23,398.11,400.15,393.04,397.66,447157
2021-11-24,394.94,399.0,392.62,398.99,332731
2021-11-26,396.02,397.51,389.79,390.96,353121
2021-11-29,395.99,400.64,395.19,399.385,693741
2021-11-30,398.7,401.12,391.78,393.78,853878
2021-12-01,398.28,400.46,386.78,386.78,804994
2021-12-02,385.49,391.615,384.46,389.94,790378
2021-12-03,391.36,392.31,378.905,383.275,939444
2021-12-06,383.59,387.59,379.41,386.32,820309
2021-12-07,393.23,398.43,393.11,397.73,578131
2021-12-08,398.15,399.8,396.28,399.715,412581
2021-12-09,398.41,400.19,393.555,393.82,680375
2021-12-10,396.67,398.27,393.42,398.22,759549
2021-12-13,398.05,398.29,392.07,392.07,584154
2021-12-14,387.24,390.0,383.83,388.34,830145
2021-12-15,387.88,397.39,383.9,397.05,805726
2021-12-16,398.12,398.36,385.245,386.99,1054021
2021-12-17,383.17,389.13,381.81,384.9,725684
2021-12-20,379.39,381.49,377.5,380.665,572875
2021-12-21,384.3,389.525,380.28,389.255,585470
2021-12-22,388.75,394.12,388.3,393.87,538010
2021-12-23,394.4,398.4,394.17,396.945,501386
2021-12-27,398.29,403.46,398.26,403.45,408340
2021-12-28,404.51,404.57,400.74,401.73,452654
2021-12-29,401.85,402.97,399.175,401.64,487753
2021-12-30,401.34,403.55,399.755,400.27,231757
2021-12-31,399.77,400.95,397.39,397.53,255515
2022-01-03,399.03,401.9,396.93,401.67,396970
2022-01-04,402.1,402.23,393.3,396.67,683886
2022-01-05,394.955,395.7,384.065,384.235,797724
2022-01-06,382.38,387.25,380.22,384.06,783032
2022-01-07,383.99,385.73,378.06,379.77,664732
2022-01-10,374.76,380.615,369.38,380.33,1401790
2022-01-11,379.38,385.95,377.32,385.92,682600
2022-01-12,388.475,390.13,385.05,387.045,566908
2022-01-13,389.06,389.41,376.72,377.88,951677
2022-01-14,374.9,380.33,374.9,380.01,850116
2022-01-18,374.04,376.16,369.79,370.78,1102398
2022-01-19,372.05,374.56,366.24,366.475,723539
2022-01-20,369.67,373.855,361.21,361.56,1022584
2022-01-21,359.49,362.18,351.54,351.54,1824456
2022-01-24,345.5,353.96,334.18,353.62,1269492
2022-01-25,346.69,351.01,341.68,344.99,1200540
2022-01-26,353.06,356.81,340.94,344.77,1558022
2022-01-27,349.42,351.245,340.09,340.91,922266
2022-01-28,343.05,352.0,337.99,351.87,1249780
2022-01-31,353.18,363.63,351.6,363.16,696366
2022-02-01,364.54,366.155,359.2,365.58,733197
2022-02-02,369.77,370.09,364.29,368.48,589201
2022-02-03,358.53,361.87,352.48,353.66,1016068
2022-02-04,354.43,361.295,352.01,357.825,527600
2022-02-07,358.77,360.9,353.88,355.22,307900
2022-02-08,354.06,360.22,352.82,359.21,259168
2022-02-09,363.735,366.76,362.2,366.65,423141
2022-02-10,359.55,366.47,356.625,358.445,1019044
2022-02-11,358.58,360.04,345.82,347.205,1044644
2022-02-14,346.6,350.925,343.97,347.56,838339
2022-02-15,352.94,356.36,351.94,356.23,522367
2022-02-16,353.78,356.99,350.75,356.03,405138
2022-02-17,352.72,353.22,345.06,345.6,405190
2022-02-18,346.47,346.8,339.22,341.47,708878
2022-02-22,338.54,344.03,334.5,338.09,610213
2022-02-23,341.28,342.0,329.12,329.41,877585
2022-02-24,318.67,341.0,318.635,340.65,1924611
2022-02-25,341.22,345.95,337.63,345.92,931004
2022-02-28,342.53,348.49,341.44,347.0,852617
2022-03-01,345.75,348.02,339.02,341.53,736592
2022-03-02,343.21,348.49,340.3,347.1,888379
2022-03-03,349.82,349.86,340.45,342.12,1030510
2022-03-04,340.16,341.28,334.95,337.33,968295
2022-03-07,337.31,338.44,324.67,325.01,950004
2022-03-08,324.08,333.19,319.97,323.28,1621033
2022-03-09,331.76,336.38,329.14,335.02,740682
2022-03-10,330.72,332.41,326.73,331.41,760950
2022-03-11,334.37,334.56,323.96,324.01,756487
2022-03-14,323.24,326.54,317.5,318.18,1109683
2022-03-15,320.97,328.92,319.26,328.11,1162437
2022-03-16,332.3,340.43,328.41,340.43,1554153
2022-03-17,338.4,344.48,337.14,344.48,751888
2022-03-18,342.75,351.79,341.56,351.46,1112142
2022-03-21,350.22,352.45,345.6,350.13,884189
2022-03-22,350.815,357.84,350.22,356.89,780283
2022-03-23,354.03,357.63,351.78,351.79,665341
2022-03-24,353.76,359.67,351.615,359.59,575696
2022-03-25,359.61,360.62,354.95,359.28,863263
2022-03-28,359.34,365.0,358.09,365.0,568462
2022-03-29,368.89,371.815,366.275,371.18,1308329
2022-03-30,369.535,370.93,365.58,367.1,1230365
2022-03-31,367.31,367.59,361.71,362.02,742835
2022-04-01,362.83,363.575,358.61,361.83,619525
2022-04-04,362.74,369.3,362.45,369.28,767466
2022-04-05,367.82,368.46,359.96,361.26,910181
2022-04-06,355.67,356.72,350.56,353.18,1095424
2022-04-07,352.28,356.325,348.71,354.12,860664
2022-04-08,352.21,353.02,348.54,349.1,896972
2022-04-11,344.78,345.65,340.56,340.97,810032
2022-04-12,345.78,347.69,338.1,339.52,936417
2022-04-13,339.74,347.405,339.16,346.3,867508
2022-04-14,346.46,346.91,338.21,338.44,739290
2022-04-18,337.35,341.03,335.87,338.9,601904
2022-04-19,338.0,346.83,337.02,346.12,840350
2022-04-20,347.25,347.55,340.01,341.025,683440
2022-04-21,345.2,347.84,333.29,334.37,860864
2022-04-22,334.23,335.51,324.985,325.37,1023686
2022-04-25,323.71,329.855,322.49,329.58,929882
2022-04-26,327.49,327.6,316.86,316.86,1032048
2022-04-27,317.23,322.87,315.01,316.74,1166610
2022-04-28,322.0,329.88,317.6,327.99,1133746
2022-04-29,323.67,327.21,312.64,313.43,1020759
2022-05-02,312.9,318.695,309.68,318.43,1162614
2022-05-03,318.32,321.05,316.01,318.87,640907
2022-05-04,319.31,330.29,313.92,329.74,1173337
2022-05-05,325.13,325.13,309.63,313.4,1375035
2022-05-06,311.25,315.0,305.16,309.38,1153553
2022-05-09,303.48,305.78,295.77,297.18,1391114
2022-05-10,304.58,305.61,296.62,300.82,1447365
2022-05-11,298.41,303.94,290.98,291.79,1504377
2022-05-12,287.51,295.67,284.945,291.37,1634756
2022-05-13,295.78,302.98,294.1,301.78,851526
2022-05-16,300.14,302.23,297.2,298.62,646802
2022-05-17,304.48,306.56,300.61,306.22,729590
2022-05-18,301.51,302.22,289.86,291.14,1001385
2022-05-19,289.33,294.36,287.67,289.46,798581
2022-05-20,293.06,293.785,280.34,288.56,1061592
2022-05-23,289.85,293.77,287.31,293.38,545309
2022-05-24,288.065,288.86,282.28,287.225,767494
2022-05-25,285.82,293.32,285.5,291.28,687424
2022-05-26,290.43,300.91,290.2,299.33,819197
2022-05-27,302.57,309.17,302.445,309.105,800209
2022-05-31,309.14,311.315,304.35,308.53,650644
2022-06-01,310.53,312.54,303.78,305.98,592079
2022-06-02,304.92,314.56,303.45,314.47,933991
2022-06-03,308.94,310.41,304.99,306.055,639740
2022-06-06,310.805,312.335,305.675,307.22,474747
2022-06-07,303.67,310.63,302.73,309.98,712087
2022-06-08,309.04,311.65,306.795,307.55,839418
2022-06-09,305.885,308.91,299.255,299.255,974756
2022-06-10,293.73,294.68,288.405,288.74,1086288
2022-06-13,279.7,282.31,274.54,275.57,1278396
2022-06-14,277.62,278.65,273.34,275.91,1263350
2022-06-15,279.45,286.77,276.65,282.9,1532274
2022-06-16,275.59,276.04,269.3,271.59,1087289
2022-06-17,272.07,277.16,270.57,274.73,1007923
2022-06-21,278.73,283.45,278.7,281.06,874550
2022-06-22,278.47,285.17,277.935,280.7,798145
2022-06-23,283.2,285.72,280.32,284.88,968782
2022-06-24,287.81,294.9,287.6,294.86,1029993
2022-06-27,296.01,296.54,291.29,292.45,796263
2022-06-28,293.03,295.65,283.35,283.52,1007634
2022-06-29,283.38,285.24,280.92,283.915,794529
2022-06-30,280.75,283.85,275.81,280.38,1166094
2022-07-01,278.94,282.485,277.08,282.12,647686
2022-07-05,278.23,287.03,276.83,287.02,1137003
2022-07-06,287.4,290.95,285.63,288.78,782713
2022-07-07,289.76,295.68,289.76,294.94,938668
2022-07-08,291.99,296.73,291.255,295.39,900919
2022-07-11,292.81,293.07,288.225,288.81,628387
2022-07-12,290.36,292.13,284.63,286.23,770996
2022-07-13,280.61,287.97,280.31,285.8,760167
2022-07-14,282.99,287.55,279.83,286.675,735405
2022-07-15,289.85,291.96,288.11,291.77,808818
2022-07-18,294.69,296.14,288.29,289.27,924029
2022-07-19,293.22,298.585,291.51,298.22,893913
2022-07-20,298.74,304.24,297.95,303.055,983647
2022-07-21,303.56,307.43,300.83,307.43,818335
2022-07-22,306.44,308.49,300.12,301.98,848642
2022-07-25,302.03,302.4,298.25,300.36,664683
2022-07-26,298.37,298.74,293.57,294.33,646716
2022-07-27,299.13,308.52,298.58,306.74,1316020
2022-07-28,306.66,310.39,302.785,309.68,825359
2022-07-29,311.41,316.3,310.1,315.31,632349
2022-08-01,313.63,318.73,312.58,315.16,573912
2022-08-02,312.86,318.51,311.85,314.33,822662
2022-08-03,316.06,323.71,316.05,322.84,845218
2022-08-04,322.98,324.66,320.88,324.33,390327
2022-08-05,319.21,323.765,318.44,321.79,661782
2022-08-08,322.66,326.43,319.22,320.72,619894
2022-08-09,318.725,318.99,315.48,317.05,663515
2022-08-10,324.6,326.19,322.08,325.94,676443
2022-08-11,328.38,330.305,323.45,324.1,776191
2022-08-12,326.24,330.58,325.28,330.46,561592
2022-08-15,329.52,333.56,329.52,333.07,487655
2022-08-16,331.97,334.41,329.18,332.31,556251
2022-08-17,329.03,331.385,326.44,328.5,609038
2022-08-18,328.51,330.42,326.905,329.295,381390
2022-08-19,326.16,326.73,322.14,322.93,660484
2022-08-22,318.48,318.7,313.54,314.485,844680
2022-08-23,314.12,317.0,313.34,314.0,735687
2022-08-24,313.55,316.815,313.14,315.04,467855
2022-08-25,316.84,320.6,315.83,320.54,434915
2022-08-26,320.32,321.37,307.42,307.46,735415
2022-08-29,304.51,307.15,303.36,304.42,787958
2022-08-30,306.26,306.64,298.47,300.98,792711
2022-08-31,304.01,304.85,299.19,299.27,650374
2022-09-01,296.55,299.76,292.96,299.48,990829
2022-09-02,302.34,303.725,293.525,295.24,838717
2022-09-06,295.67,296.55,290.93,293.06,690858
2022-09-07,293.53,299.965,293.35,298.95,767792
2022-09-08,296.51,301.82,295.55,300.54,629754
2022-09-09,302.9,307.58,302.89,306.98,685314
2022-09-12,308.5,311.02,308.23,310.75,551474
2022-09-13,301.725,302.98,292.79,293.715,1639217
2022-09-14,294.85,296.86,293.13,296.02,780051
2022-09-15,294.02,296.47,289.48,291.02,819064
2022-09-16,287.64,289.695,285.66,289.19,786282
2022-09-19,286.14,291.195,286.1,291.05,634887
2022-09-20,288.49,291.06,286.38,288.68,808606
2022-09-21,289.64,293.89,283.45,283.46,1294549
2022-09-22,281.9,282.97,278.87,280.0,1184572
2022-09-23,277.61,277.74,272.04,275.68,960429
2022-09-26,275.01,279.39,273.62,273.96,969552
2022-09-27,277.83,280.1,272.11,274.6,1063952
2022-09-28,274.44,281.23,272.97,279.8,1045547
2022-09-29,275.9,276.2,268.87,272.05,950495
2022-09-30,270.98,275.14,267.1,267.55,858173
2022-10-03,269.09,275.12,267.63,273.39,670269
2022-10-04,279.02,282.84,279.02,282.04,762862
2022-10-05,278.27,283.775,275.6,281.9,811389
2022-10-06,281.01,284.12,279.44,279.79,748618
2022-10-07,274.94,275.14,267.81,269.1,1079660
2022-10-10,269.33,269.61,263.66,266.12,1001869
2022-10-11,264.63,267.56,261.09,263.02,1130939
2022-10-12,263.41,265.3,262.01,262.69,740967
2022-10-13,255.17,270.15,254.27,268.73,1196277
2022-10-14,271.24,271.71,260.15,260.67,928971
2022-10-17,266.81,270.23,266.8,269.48,936063
2022-10-18,276.58,277.19,268.84,271.69,818027
2022-10-19,269.7,273.62,268.09,270.63,524384
2022-10-20,269.47,274.83,267.92,269.02,750258
2022-10-21,268.0,275.955,266.98,275.64,812582
2022-10-24,275.88,279.37,272.005,278.45,662515
2022-10-25,279.46,284.57,279.46,284.25,839835
2022-10-26,278.46,283.93,277.5,277.86,1079546
2022-10-27,276.86,278.25,272.355,272.66,710486
2022-10-28,272.17,281.69,272.07,281.22,1202156
2022-10-31,278.88,279.65,276.02,277.88,822406
2022-11-01,281.68,282.04,274.74,275.01,756291
2022-11-02,275.05,278.01,265.63,265.63,1288226
2022-11-03,262.85,264.48,260.16,260.48,1243492
2022-11-04,265.61,266.45,259.09,264.65,1327590
2022-11-07,265.78,268.14,263.58,267.62,657970
2022-11-08,269.2,272.85,265.53,269.51,1151251
2022-11-09,267.77,268.52,263.03,263.24,867623
2022-11-10,276.11,283.02,273.91,282.65,1524015
2022-11-11,282.73,288.64,281.25,287.96,1035609
2022-11-14,285.88,289.17,284.61,285.225,862880
2022-11-15,292.34,293.21,285.99,289.4,769473
2022-11-16,287.19,287.735,284.63,285.415,605323
2022-11-17,280.89,286.3,280.79,284.83,1062137
2022-11-18,287.88,287.96,282.36,284.81,602097
2022-11-21,283.41,284.57,281.05,281.82,440401
2022-11-22,282.79,286.105,280.49,285.935,595784
2022-11-23,285.98,289.39,285.795,288.79,524320
