Date,Open,High,Low,Close,Volume
2024-06-03,454.71,455.55,447.92,453.11,356668
2024-06-04,452.88,455.53,451.17,454.25,302322
2024-06-05,457.93,463.61,456.96,463.59,601990
2024-06-06,464.2,464.5,462.25,463.41,368197
2024-06-07,462.63,465.69,461.88,462.98,257912
2024-06-10,461.84,465.17,461.61,464.87,399382
2024-06-11,463.53,468.11,462.11,468.11,420565
2024-06-12,471.97,476.355,471.32,474.08,539059
2024-06-13,477.72,478.33,474.56,476.66,397617
2024-06-14,476.525,479.21,476.05,479.19,267261
2024-06-17,479.39,486.75,478.34,485.04,458308
2024-06-18,485.08,485.83,483.44,485.24,346499
2024-06-20,486.53,486.79,479.705,481.44,486141
2024-06-21,481.01,482.48,478.72,480.16,350203
2024-06-24,478.18,479.8,473.84,474.03,348439
2024-06-25,476.07,479.665,475.32,479.43,329810
2024-06-26,478.45,480.9,478.31,480.41,254912
2024-06-27,480.14,483.04,479.33,481.58,515001
2024-06-28,482.35,487.16,478.61,479.06,343220
2024-07-01,479.86,482.46,476.29,481.96,251650
2024-07-02,480.51,487.03,480.36,487.01,336259
2024-07-03,486.25,491.14,486.25,490.99,241862
2024-07-05,492.04,496.595,491.65,496.23,405829
2024-07-08,496.43,497.85,495.64,497.22,306190
2024-07-09,498.97,499.99,496.275,497.82,282897
2024-07-10,499.85,503.47,498.41,503.03,488305
2024-07-11,503.06,503.15,490.775,491.905,646420
2024-07-12,492.345,499.585,492.08,494.84,498123
2024-07-15,496.69,500.91,494.12,496.2,240731
2024-07-16,497.66,498.36,493.2,496.38,302987
2024-07-17,488.11,488.77,481.715,481.825,722150
2024-07-18,485.5,485.7,476.305,479.44,588848
2024-07-19,479.06,481.68,474.19,475.31,529442
2024-07-22,481.14,483.31,477.865,482.2,372713
2024-07-23,481.46,484.41,480.17,480.78,238473
2024-07-24,473.775,474.02,462.58,463.35,572994
2024-07-25,463.72,467.82,455.64,458.22,605098
2024-07-26,462.45,465.91,459.825,463.07,253195
2024-07-29,465.66,467.89,462.05,463.91,219023
2024-07-30,465.71,466.41,454.2,457.46,305703
2024-07-31,467.97,472.72,466.425,471.01,468430
2024-08-01,471.76,475.55,456.03,459.56,595685
2024-08-02,450.9,453.44,444.52,448.66,636241
2024-08-05,424.6,442.21,423.5,435.805,781499
2024-08-06,437.64,447.01,434.86,439.53,504204
2024-08-07,446.715,448.99,434.43,434.94,459278
2024-08-08,441.02,448.89,437.39,448.0,392703
2024-08-09,446.73,452.03,445.67,450.5,377238
2024-08-12,451.38,454.19,448.61,451.4,207563
2024-08-13,456.14,462.83,455.91,462.58,472272
2024-08-14,463.59,464.995,458.49,462.82,418622
2024-08-15,469.43,474.8,468.46,474.4,525489
2024-08-16,472.68,476.29,471.92,475.06,274804
2024-08-19,475.12,481.3,473.47,481.19,244460
2024-08-20,480.39,482.91,478.56,480.18,339512
2024-08-21,480.835,484.36,479.39,482.55,236860
2024-08-22,484.72,485.5,473.87,474.92,596984
2024-08-23,479.33,482.69,475.32,480.16,464277
2024-08-26,479.52,480.34,473.25,475.36,685116
2024-08-27,473.68,477.82,471.76,476.88,365586
2024-08-28,476.46,476.985,467.93,471.24,453425
2024-08-29,473.2,477.88,469.49,470.79,508150
2024-08-30,474.91,476.87,470.58,476.43,423686
2024-09-03,473.21,473.25,459.48,461.85,645566
2024-09-04,458.55,464.415,457.77,460.6,470592
2024-09-05,459.03,465.16,458.16,461.13,336157
2024-09-06,460.44,461.14,448.2,448.86,674359
2024-09-09,452.89,455.41,449.96,454.51,323244
2024-09-10,456.32,459.15,452.29,458.83,339882
2024-09-11,459.65,469.36,451.39,468.37,521668
2024-09-12,468.7,474.0,466.92,473.18,570501
2024-09-13,472.68,476.46,472.44,475.25,235659
2024-09-16,473.17,473.79,469.98,473.095,233720
2024-09-17,476.305,477.44,471.02,473.5,308495
2024-09-18,474.62,478.71,470.86,471.44,375646
2024-09-19,482.7,486.22,480.6,483.32,761519
2024-09-20,482.64,483.67,478.365,482.31,394891
2024-09-23,482.91,484.11,481.66,482.975,223947
2024-09-24,484.51,486.3,480.18,485.48,310593
2024-09-25,484.89,487.75,484.58,486.05,394103
2024-09-26,493.6,493.65,485.83,489.36,511083
2024-09-27,490.58,490.58,485.61,486.74,397377
2024-09-30,485.77,488.41,483.01,487.94,478214
2024-10-01,487.72,487.9,477.41,481.21,660250
2024-10-02,480.09,483.84,477.78,481.96,226512
2024-10-03,479.78,484.51,479.02,481.57,287230
2024-10-04,487.51,487.88,482.49,487.37,439186
2024-10-07,485.41,486.54,480.915,482.06,308498
2024-10-08,484.64,489.96,483.88,489.205,408420
2024-10-09,489.04,493.71,488.015,493.2,421834
2024-10-10,490.89,494.39,489.58,492.62,220198
2024-10-11,490.58,494.38,490.2,493.31,285339
2024-10-14,495.75,498.81,495.35,497.5,350005
2024-10-15,497.83,498.41,488.71,490.83,530358
2024-10-16,491.18,491.62,487.7,490.9,253117
2024-10-17,496.39,496.39,491.31,491.37,324263
2024-10-18,494.03,495.54,493.36,494.51,316710
2024-10-21,493.48,496.19,491.46,495.44,364941
2024-10-22,492.73,497.425,491.99,495.96,279753
2024-10-23,493.57,494.205,485.09,488.46,475303
2024-10-24,492.16,492.97,489.505,492.3,293899
2024-10-25,495.18,500.27,494.51,495.25,485755
2024-10-28,498.465,498.465,495.125,495.4,292400
2024-10-29,495.68,501.315,493.87,500.23,406649
2024-10-30,499.32,500.25,495.92,496.51,417833
2024-10-31,492.21,492.21,483.805,483.85,430032
2024-11-01,485.46,490.72,485.46,487.41,444233
2024-11-04,486.84,489.32,484.31,486.02,342665
2024-11-05,487.61,492.85,487.57,492.19,274438
2024-11-06,500.765,506.4,499.64,505.6,565333
2024-11-07,508.4,514.27,508.4,513.55,395191
2024-11-08,513.1,514.9,512.42,514.17,345774
2024-11-11,515.36,515.53,511.0,513.91,304716
2024-11-12,513.75,514.66,509.89,512.88,377995
2024-11-13,512.33,514.91,509.95,512.27,412586
2024-11-14,512.27,512.66,507.81,508.76,308586
2024-11-15,502.9,503.33,494.53,496.45,660729
2024-11-18,498.15,502.085,496.82,499.96,371654
2024-11-19,497.39,503.93,497.21,503.42,406599
2024-11-20,503.16,503.46,496.57,503.08,346539
2024-11-21,506.2,506.91,497.68,504.98,414521
2024-11-22,504.43,506.52,502.8,505.79,262097
2024-11-25,509.87,511.32,504.34,506.59,297786
2024-11-26,508.4,510.12,507.24,509.33,289242
2024-11-27,508.13,508.13,502.15,505.27,317474
2024-11-29,505.98,510.21,505.36,509.74,175081
2024-12-02,511.03,516.235,510.71,515.29,333408
2024-12-03,514.08,517.14,513.5,516.95,248775
2024-12-04,520.3,523.51,519.6,523.24,398393
2024-12-05,523.33,523.98,521.49,521.89,261114
2024-12-06,522.54,526.71,522.535,526.51,362449
2024-12-09,525.52,526.31,521.23,522.39,396740
2024-12-10,523.53,525.27,519.24,520.55,373370
2024-12-11,524.93,530.57,524.6,529.95,471846
2024-12-12,527.73,528.86,526.11,526.69,269611
2024-12-13,530.42,533.06,527.31,530.44,325816
2024-12-16,533.02,539.13,533.0,538.19,299183
2024-12-17,536.4,537.42,534.15,535.81,452023
2024-12-18,535.07,536.87,515.05,516.6,684833
2024-12-19,521.17,521.63,513.85,514.18,636051
2024-12-20,510.36,524.815,509.43,518.62,567163
2024-12-23,519.61,520.73,516.27,517.84,65492
2024-12-24,524.82,530.01,524.29,530.01,400296
2024-12-26,528.34,531.0,526.49,529.6,235490
2024-12-27,526.07,526.32,517.905,522.55,489143
2024-12-30,515.46,519.3,511.92,515.57,395727
2024-12-31,516.95,517.66,510.26,511.23,355308
2025-01-02,514.23,516.59,505.71,510.33,442507
2025-01-03,513.295,519.645,512.62,518.54,486069
2025-01-06,524.185,527.9,522.05,524.55,427197
2025-01-07,525.895,525.98,513.31,515.25,440385
2025-01-08,515.08,516.85,510.57,515.19,292333
2025-01-10,511.51,511.525,504.0,507.18,388651
2025-01-13,501.21,505.99,499.71,505.52,367039
2025-01-14,508.93,510.15,501.64,505.13,435149
2025-01-15,513.04,517.825,511.84,516.56,528310
2025-01-16,519.0,519.0,513.01,513.1,339679
2025-01-17,522.87,523.41,518.92,521.77,551873
2025-01-21,524.58,525.95,520.205,524.68,333235
2025-01-22,529.59,533.8,529.38,531.515,589761
2025-01-23,528.94,532.64,528.51,532.595,349780
2025-01-24,532.92,533.7,528.175,529.62,411019
2025-01-27,510.915,517.87,510.18,514.05,748550
2025-01-28,515.29,522.99,511.8,521.81,504968
2025-01-29,522.49,522.49,517.04,520.625,271136
2025-01-30,523.775,526.025,518.385,523.06,358422
2025-01-31,526.82,531.5,521.21,522.3,534714
2025-02-03,513.29,520.775,511.1,517.97,462009
2025-02-04,518.63,525.05,518.29,524.46,361085
2025-02-05,521.805,527.01,520.67,526.83,237631
2025-02-06,527.4,529.78,525.87,529.54,241619
2025-02-07,530.18,532.0,522.36,522.975,258317
2025-02-10,527.28,530.325,526.78,529.22,296002
2025-02-11,526.005,529.835,525.97,527.9,274409
2025-02-12,522.33,529.185,522.01,528.29,246200
2025-02-13,529.98,536.2,529.22,535.88,395551
2025-02-14,536.16,538.79,535.73,538.04,274285
2025-02-18,539.8,539.96,536.12,539.29,328290
2025-02-19,538.52,540.76,536.54,539.59,364030
2025-02-20,538.67,538.99,532.58,537.14,436214
