Date,Open,High,Low,Close,Volume
2021-03-03,385.77,386.83,381.315,381.43,1492972
2021-03-04,381.21,383.97,371.9,376.74,2838147
2021-03-05,380.46,384.745,372.65,383.61,1970423
2021-03-08,384.71,387.68,381.44,381.59,954155
2021-03-09,385.84,389.895,385.36,386.97,1247029
2021-03-10,389.72,391.33,388.2,389.51,967881
2021-03-11,392.31,395.62,391.75,393.55,911711
2021-03-12,392.07,394.2,391.21,394.0,864792
2021-03-15,394.34,396.68,392.045,396.485,825333
2021-03-16,397.15,397.83,395.085,395.98,876269
2021-03-17,394.53,398.11,393.38,397.28,919078
2021-03-18,394.47,396.69,390.92,391.49,1025836
2021-03-19,389.89,391.55,387.155,389.48,1015729
2021-03-22,390.13,394.06,390.075,392.58,596841
2021-03-23,391.905,393.415,388.675,389.6,929124
2021-03-24,391.0,392.74,387.5,387.5,941797
2021-03-25,385.91,390.525,383.94,389.62,1147872
2021-03-26,390.94,396.36,390.31,395.88,994962
2021-03-29,394.44,396.74,392.83,395.75,947371
2021-03-30,394.42,395.44,393.07,394.87,865981
2021-03-31,395.35,397.995,395.33,396.11,1290126
2021-04-01,398.37,400.665,398.23,400.54,1012758
2021-04-05,403.55,406.935,403.42,406.31,859965
2021-04-06,405.76,407.215,405.41,406.08,679087
2021-04-07,405.94,406.95,405.51,406.6,603106
2021-04-08,407.92,408.57,406.94,408.54,802416
2021-04-09,408.39,411.66,408.29,411.44,980710
2021-04-12,410.88,411.92,410.24,411.57,811368
2021-04-13,411.52,413.525,411.145,412.73,511643
2021-04-14,412.83,413.94,410.875,411.24,749857
2021-04-15,413.73,416.16,413.7,415.7,813779
2021-04-16,417.23,417.905,415.74,417.3,810912
2021-04-19,416.24,416.725,413.84,415.32,709059
2021-04-20,413.91,414.665,410.62,412.19,908224
2021-04-21,411.5,416.25,411.37,416.07,734383
2021-04-22,415.88,416.76,411.15,412.34,1072524
2021-04-23,412.85,418.23,412.805,416.73,1237723
2021-04-26,417.42,418.22,416.99,417.5,814495
2021-04-27,417.91,418.135,416.41,417.36,580474
2021-04-28,417.81,419.0,416.94,417.36,657403
2021-04-29,420.39,420.71,416.54,420.04,775821
2021-04-30,417.62,418.53,416.38,417.33,848706
2021-05-03,419.44,419.825,417.665,418.16,569791
2021-05-04,416.06,416.595,411.69,415.57,1053011
2021-05-05,417.32,417.62,415.0,415.72,588115
2021-05-06,415.8,419.21,413.68,418.99,875105
2021-05-07,419.92,422.81,419.2,422.06,807382
2021-05-10,422.63,422.63,417.82,417.96,771752
2021-05-11,413.1,415.25,410.1,414.22,1328251
2021-05-12,410.99,412.57,404.815,405.48,1339452
2021-05-13,407.22,412.34,407.12,410.28,1297974
2021-05-14,413.22,417.49,413.2,416.39,1183764
2021-05-17,415.37,416.38,413.41,415.46,736029
2021-05-18,415.8,415.99,411.81,412.04,790041
2021-05-19,406.9,411.02,405.34,410.99,1161669
2021-05-20,411.79,416.61,411.7,415.12,915218
2021-05-21,416.93,418.18,414.45,414.99,873628
2021-05-24,417.4,420.32,417.08,419.12,1109738
2021-05-25,420.34,420.7,417.63,418.29,624553
2021-05-26,418.94,419.61,417.785,419.04,649183
2021-05-27,420.17,420.7,419.13,419.33,959890
2021-05-28,421.02,421.245,419.8,420.08,635828
2021-06-01,422.58,422.69,419.22,419.63,680862
2021-06-02,420.27,421.185,419.3,420.32,628822
2021-06-03,418.05,419.99,416.33,418.77,771761
2021-06-04,420.77,422.915,420.72,422.59,910318
