Date,Open,High,Low,Close,Volume
2021-10-01,144.79,145.365,144.21,145.335,365081
2021-10-04,144.61,145.445,144.11,145.0,642004
2021-10-05,144.505,144.645,143.48,143.61,356820
2021-10-06,144.255,144.695,144.03,144.39,227419
2021-10-07,143.205,143.33,142.59,142.855,213965
2021-10-08,142.21,142.35,141.54,141.9,327862
2021-10-11,141.51,141.89,141.46,141.48,121132
2021-10-12,142.635,144.005,142.49,143.925,262266
2021-10-13,144.7,145.52,144.59,145.34,341729
2021-10-14,145.39,145.945,144.95,145.9,112026
2021-10-15,145.01,145.135,144.49,145.04,515075
2021-10-18,145.02,146.0,144.52,145.69,139632
2021-10-19,144.48,144.72,143.655,143.77,160206
2021-10-20,143.25,143.615,142.55,142.76,158454
2021-10-21,143.065,143.065,142.25,142.57,191164
2021-10-22,143.375,144.38,143.23,144.065,190905
2021-10-25,143.825,144.27,143.74,143.9,119219
2021-10-26,144.56,145.095,143.78,145.095,227297
2021-10-27,146.49,148.14,145.945,147.7,382194
2021-10-28,147.83,148.26,146.87,147.28,211571
2021-10-29,146.52,147.98,146.35,147.62,242229
2021-11-01,145.76,146.745,145.705,146.63,318456
2021-11-02,146.635,147.56,146.58,147.09,139571
2021-11-03,147.94,147.95,145.565,145.61,375776
2021-11-04,145.935,147.35,145.89,147.1,356494
2021-11-05,148.52,149.565,148.15,149.24,565595
2021-11-08,148.975,149.275,148.54,149.08,277673
2021-11-09,150.83,151.755,150.645,150.91,680630
2021-11-10,150.83,150.89,147.06,148.33,564250
2021-11-11,148.55,148.55,147.91,147.97,83029
2021-11-12,148.075,148.51,146.76,147.365,201400
2021-11-15,146.86,146.96,145.245,145.49,258523
2021-11-16,145.71,146.38,144.88,145.225,169340
2021-11-17,144.6,146.24,144.52,146.24,243700
2021-11-18,146.165,146.88,146.0,146.725,130326
2021-11-19,147.62,148.59,147.62,148.36,218127
2021-11-22,147.41,147.63,146.135,146.61,317766
2021-11-23,145.94,146.05,144.52,144.52,201832
2021-11-24,144.93,146.785,144.81,146.785,236683
2021-11-26,148.84,150.675,148.765,150.5,515904
2021-11-29,148.3,149.635,148.18,149.325,401381
2021-11-30,150.83,152.06,150.3,151.64,497664
2021-12-01,150.515,152.37,149.79,152.29,694833
2021-12-02,152.955,152.955,151.55,152.48,312990
2021-12-03,151.68,155.105,151.36,154.34,736042
2021-12-06,154.05,154.34,151.945,152.25,844427
2021-12-07,151.72,152.48,150.88,151.01,438764
2021-12-08,150.46,150.46,148.37,148.37,838547
2021-12-09,149.375,149.8,148.53,149.22,246385
2021-12-10,149.99,150.21,148.81,148.85,214589
2021-12-13,150.435,151.29,150.37,151.02,421313
2021-12-14,150.29,150.88,149.34,150.66,232403
2021-12-15,149.66,150.78,149.14,149.275,483961
2021-12-16,148.82,149.88,148.74,149.08,288783
2021-12-17,150.39,150.97,150.195,150.78,293880
2021-12-20,150.75,150.98,149.6,149.83,279830
2021-12-21,148.115,149.195,147.62,149.12,267243
2021-12-22,149.81,149.855,149.04,149.85,179285
2021-12-23,149.42,149.42,148.08,148.505,193908
2021-12-27,148.46,149.01,148.36,148.87,120484
2021-12-28,149.65,149.74,148.015,148.245,128861
2021-12-29,146.965,147.3,146.42,146.69,202700
2021-12-30,147.155,147.955,146.49,147.9,165078
2021-12-31,147.81,149.02,147.435,148.085,280066
2022-01-03,146.41,146.82,144.33,144.33,755802
2022-01-04,143.61,144.1,142.74,143.705,429237
2022-01-05,144.14,144.16,142.77,142.97,288264
2022-01-06,142.5,143.435,142.33,143.25,260371
2022-01-07,143.06,143.21,141.58,142.245,289444
2022-01-10,141.625,142.79,141.37,142.64,312338
2022-01-11,142.89,143.625,142.71,143.585,499908
2022-01-12,143.945,143.985,143.01,143.01,256636
2022-01-13,143.29,144.41,143.05,144.27,237870
2022-01-14,143.41,143.41,141.8,142.145,436273
2022-01-18,140.95,141.29,140.04,140.05,395263
2022-01-19,140.49,141.67,140.345,141.1,347776
2022-01-20,141.36,141.94,141.1,141.91,231781
2022-01-21,143.345,144.09,142.68,143.63,499414
2022-01-24,144.3,144.36,142.43,142.46,473231
2022-01-25,143.05,143.68,141.83,142.2,258558
2022-01-26,142.36,142.55,140.515,140.52,419085
2022-01-27,142.58,143.36,142.55,143.16,470404
2022-01-28,142.06,143.45,141.87,143.1,231931
2022-01-31,142.19,142.95,141.985,142.42,269531
2022-02-01,142.255,142.3,141.06,141.735,386239
2022-02-02,141.97,143.565,141.97,142.21,369255
2022-02-03,140.325,141.465,140.185,141.115,238027
2022-02-04,139.84,140.105,138.785,139.02,390321
2022-02-07,138.885,139.305,138.56,139.14,205801
2022-02-08,138.28,138.56,137.83,138.13,259380
2022-02-09,138.71,139.345,138.2,138.42,226207
2022-02-10,137.67,137.8,135.84,136.175,511994
2022-02-11,136.88,138.495,135.39,138.34,871622
2022-02-14,137.165,137.725,136.045,136.505,449406
2022-02-15,135.63,135.78,134.94,134.98,329012
2022-02-16,135.935,136.06,134.57,135.795,308527
2022-02-17,136.445,137.55,135.96,136.81,381532
2022-02-18,137.49,138.35,137.185,138.32,335681
2022-02-22,137.69,138.665,137.51,138.595,438793
2022-02-23,137.745,137.77,136.575,136.675,303169
2022-02-24,139.125,139.15,136.255,136.88,662274
2022-02-25,136.9,137.24,136.19,136.88,295356
2022-02-28,138.455,140.025,138.33,139.87,429214
2022-03-01,140.34,142.3,140.04,141.47,670966
2022-03-02,139.845,140.39,136.415,136.465,610955
2022-03-03,137.52,138.68,137.06,137.84,399453
2022-03-04,140.36,140.825,139.32,140.3,608015
2022-03-07,139.14,140.56,138.79,139.32,451393
2022-03-08,137.53,138.25,137.25,137.78,548656
2022-03-09,137.065,137.3,136.15,136.37,421741
2022-03-10,134.81,135.17,133.74,134.45,686354
2022-03-11,134.35,135.42,134.24,134.935,343626
2022-03-14,132.7,132.885,131.725,131.735,711148
2022-03-15,132.8,133.14,131.2,131.54,407922
2022-03-16,131.94,133.12,130.355,132.865,401583
2022-03-17,132.81,133.31,131.08,131.88,408254
2022-03-18,132.61,133.535,132.59,133.42,1773176
2022-03-21,131.23,131.66,129.775,130.3,478381
2022-03-22,128.92,129.31,128.36,128.68,479322
2022-03-23,129.39,131.595,128.87,131.595,460553
2022-03-24,129.69,131.145,129.615,130.45,339385
2022-03-25,129.5,129.5,127.75,128.61,439866
2022-03-28,129.53,130.56,129.1,129.81,314643
2022-03-29,130.64,131.5,129.75,130.84,283868
2022-03-30,130.08,132.005,129.995,131.765,249722
2022-03-31,131.99,132.65,131.7,132.215,333401
2022-04-01,130.025,132.95,129.725,132.3,349610
2022-04-04,131.94,131.94,130.72,131.48,273429
2022-04-05,130.76,130.77,128.3,128.515,562357
2022-04-06,126.41,128.3,126.4,127.5,457145
2022-04-07,126.09,126.655,125.41,126.48,460556
2022-04-08,125.43,125.81,124.26,125.01,579193
2022-04-11,123.98,124.18,122.58,123.15,536898
2022-04-12,124.03,124.15,122.68,122.99,413404
2022-04-13,123.04,124.28,122.95,123.26,243644
2022-04-14,122.85,122.93,120.38,120.72,626596
2022-04-18,120.89,121.06,119.695,120.1,269057
2022-04-19,119.16,119.69,118.68,119.305,355181
2022-04-20,120.22,121.955,119.94,121.7,423553
2022-04-21,120.7,120.84,119.19,120.74,350506
2022-04-22,120.07,121.42,119.81,120.04,236801
2022-04-25,121.4,122.18,121.13,121.17,494283
2022-04-26,122.4,123.02,121.78,122.38,692930
2022-04-27,122.165,122.32,120.775,120.94,385617
2022-04-28,120.41,121.06,120.02,121.02,214836
2022-04-29,119.25,120.96,119.11,119.5,495370
2022-05-02,117.79,118.23,116.935,117.25,528813
2022-05-03,119.08,119.29,117.9,118.03,326254
2022-05-04,117.93,118.95,117.375,118.55,450346
2022-05-05,116.34,116.44,114.015,115.43,825412
2022-05-06,114.13,115.03,113.315,113.71,394251
2022-05-09,112.83,114.695,112.645,114.685,362646
2022-05-10,115.9,116.96,115.5,115.76,602394
2022-05-11,114.76,117.9,114.44,117.9,640216
2022-05-12,118.1,118.875,117.71,117.74,482134
2022-05-13,116.945,117.15,115.9,115.95,377772
2022-05-16,116.185,116.925,115.88,115.93,178462
2022-05-17,114.68,115.33,114.365,114.47,233098
2022-05-18,114.74,116.995,114.62,116.93,478658
2022-05-19,118.68,118.7,116.89,117.175,464333
2022-05-20,117.09,119.015,117.09,118.515,444257
2022-05-23,117.75,118.22,116.565,116.625,331958
2022-05-24,117.93,119.625,117.9,118.92,444359
2022-05-25,119.555,119.58,118.615,119.33,193507
2022-05-26,118.92,119.04,117.83,118.795,269267
2022-05-27,119.36,119.715,118.74,119.13,176120
2022-05-31,117.18,117.2,115.93,116.78,449196
2022-06-01,116.855,117.32,115.69,116.245,201491
2022-06-02,116.64,116.66,115.465,116.28,144181
2022-06-03,115.14,116.03,114.92,116.03,218847
2022-06-06,115.16,115.43,113.815,113.9,316767
2022-06-07,114.61,115.775,114.595,115.125,299530
2022-06-08,114.7,115.12,114.095,114.095,112859
2022-06-09,113.85,114.65,113.71,114.485,248523
2022-06-10,114.32,114.61,112.97,113.76,270743
2022-06-13,111.46,111.64,109.24,110.3,704569
2022-06-14,110.48,110.98,108.59,108.9,367764
2022-06-15,110.135,110.98,109.06,110.98,331867
2022-06-16,108.46,111.68,108.125,111.68,478205
2022-06-17,111.98,112.81,110.96,112.26,621582
2022-06-21,110.1,110.98,109.825,110.16,265551
2022-06-22,112.74,113.28,112.44,113.185,337099
2022-06-23,113.89,115.14,113.58,114.17,523467
2022-06-24,113.485,114.09,112.505,112.54,290805
2022-06-27,111.21,112.19,111.17,111.635,179583
2022-06-28,111.22,112.165,110.9,112.13,254846
2022-06-29,112.375,113.9,112.335,113.9,275831
2022-06-30,114.89,115.765,114.755,114.845,463579
2022-07-01,115.92,117.59,115.225,115.835,451015
2022-07-05,116.91,117.74,116.185,116.74,447422
2022-07-06,117.415,117.515,114.77,114.77,410850
2022-07-07,115.11,115.11,113.52,113.82,270358
2022-07-08,113.4,113.4,112.055,112.505,320945
2022-07-11,113.82,114.78,113.715,114.445,387483
2022-07-12,115.51,116.21,114.995,115.03,289331
2022-07-13,113.74,116.625,113.49,116.42,406723
2022-07-14,115.12,116.13,114.485,115.395,478711
2022-07-15,115.82,116.82,115.6,116.14,283758
2022-07-18,115.25,115.285,114.2,114.94,403438
2022-07-19,114.99,115.11,113.67,114.29,173276
2022-07-20,115.52,115.52,114.06,114.625,188180
2022-07-21,115.22,116.71,115.08,116.62,361297
2022-07-22,118.28,119.25,117.99,118.61,556067
2022-07-25,116.68,117.51,116.47,117.355,434451
2022-07-26,118.86,119.24,117.395,117.485,357707
2022-07-27,118.005,118.46,116.725,116.835,259902
2022-07-28,118.075,118.91,117.34,117.72,386918
2022-07-29,117.67,119.3,117.37,117.43,292365
2022-08-01,118.33,120.095,118.125,120.01,399688
2022-08-02,120.15,120.69,117.3,117.52,283596
2022-08-03,117.15,119.44,116.36,119.44,267993
2022-08-04,118.81,119.51,118.545,119.24,121391
2022-08-05,117.08,117.105,115.89,116.53,329735
2022-08-08,117.64,118.52,117.57,118.305,358316
2022-08-09,117.8,118.35,117.49,117.89,163128
2022-08-10,117.745,118.9,116.75,117.155,306839
2022-08-11,116.85,117.01,114.095,114.39,524157
2022-08-12,115.18,115.56,114.455,115.555,229898
2022-08-15,116.33,116.72,115.465,115.5,194926
